Title,Date,Location,Text,URL
Versuchter Raub – Personen mit Messer und Pfefferspray verletzt,16.04.2025,Mitte,"Nr. 0959
In der vergangenen Nacht wurden Einsatzkräfte nach Mitte zu einer gefährlichen Körperverletzung gerufen. Ersten Erkenntnissen zufolge soll es gegen 23 Uhr in der Panoramastraße zu einer Auseinandersetzung zwischen einem 17-Jährigen und einer 15-bis 20-köpfigen Personengruppe gekommen sein, bei der der 21-jährige Begleiter des Jugendlichen mit einem Messer verletzt wurde. Nach Aussagen des Jugendlichen habe er sich mit einem Bekannten aus der Personengruppe unterhalten, als ein Unbekannter aus der Personengruppe an ihn herantrat und versuchte, ihm seine Armbanduhr gewaltsam vom Handgelenk zu reißen. Der 17-Jährige habe sich gegen diesen Angriff gewehrt, wodurch es zu einer körperlichen Auseinandersetzung gekommen sei. Ein weiterer Tatverdächtiger soll den Jugendlichen daraufhin mit einem Pfefferspray angegriffen haben. Als der 21-Jährige versucht habe, die Situation zu schlichten, wurde er aus der Personengruppe heraus geschlagen und mit einem Messer eines unbekannten
    Tatverdächtigen am Oberschenkel verletzt. Die Stichverletzung des 21-Jährigen wurde durch einen Polizisten erstversorgt. Während der medizinischen Versorgung durch hinzugerufene Rettungskräfte habe der Verletzte einen der Tatverdächtigen wiedererkannt. Die alarmierten Einsatzkräfte konnten den Mann und vier weitere Tatverdächtige in Richtung des S-Bahnhofes Alexanderplatz feststellen und überprüfen. Alle fünf Personen wurden vorläufig festgenommen, durchsucht und nach der Identitätsfeststellung am Ort mit einem Platzverweis entlassen. Der junge Mann wurde für eine ambulante Behandlung in ein Krankenhaus gebracht. Eine medizinische Erstversorgung am Ort lehnte der 17-Jährige ab. Die weiteren Ermittlungen, insbesondere zur Identifizierung des Räubers und der Tatverdächtigen zu den gefährlichen Körperverletzungen, dauern an und werden von einem Fachkommissariat der Polizeidirektion 5 (City) geführt.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1552545.php
Mann in hilflosem Zustand - Polizei bittet um Mithilfe,16.04.2025,Steglitz-Zehlendorf,"Nr. 0960
Mit der Veröffentlichung eines Fotos bittet die Vermisstenstelle der Polizei Berlin um Mithilfe. In der Nacht von Dienstag, 11. März 2025, zu Mittwoch, 12. März 2025, wurde ein Mann in hilflosem Zustand im Bereich Kuhligkshofstraße/Albrechtstraße in Steglitz aufgefunden. Aufgrund seines ernsten Gesundheitszustandes brachten ihn Rettungskräfte in ein Krankenhaus. Dort fiel er ins Koma. Da er keine Angaben zu seinem Namen machen konnte und auch keinerlei Personaldokumente bei sich trug, ist seine Identität nach wie vor ungeklärt.
Der Mann wird wie folgt beschrieben:
geschätzt 50 bis 65 Jahre alt
circa 170 cm groß
circa 100 kg schwer
Vollbart, der im Zuge der medizinischen Behandlung abrasiert wurde
kreisrunde Narbe auf dem rechten Handrücken
Der Vermisste war mit einem Rollstuhl der Marke „Action 2000“ unterwegs, an dem die rechte Fußstütze fehlt. Er führte u. a. einen Rucksack der Marke „Bench“ und eine Lidl-Tüte mit Pfandflaschen bei sich.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1552535.php
Gefährliche Körperverletzung in der Öffentlichkeit,16.04.2025,Marzahn-Hellersdorf,"Nr. 0958
Gestern Abend wurden Einsatzkräfte der Polizei zu einer gefährlichen Körperverletzung nach Hellersdorf alarmiert. Nach bisherigen Ermittlungen und Aussagen soll ein 18-Jähriger gegen 19:20 Uhr auf der Klausdorfer Straße von einer männlichen Person aus einer mehrköpfigen Personengruppe heraus angesprochen und kurz darauf attackiert worden sein. Die Person soll dem 18-Jährigen mehrfach Schläge und Kniestöße in sein Gesicht versetzt haben. Ein Zeuge, der den Tathergang beobachtete und mit Rufen auf sich aufmerksam machte, alarmierte die Polizei. Die Personengruppe flüchtete daraufhin zu Fuß. Der 18-Jährige erlitt Kopfverletzungen und wurde von alarmierten Rettungskräften für eine stationäre Behandlung in ein Krankenhaus gebracht. Die weiteren, noch andauernden Ermittlungen, insbesondere zur Identitätsfeststellung des Täters, hat ein Fachkommissariat der Polizeidirektion 3 (Ost) übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1552424.php
Nationalsozialistische Parolen gerufen,16.04.2025,Marzahn-Hellersdorf,"Nr. 0957
Weil er hörte, wie mehrere Heranwachsende in Marzahn nationalsozialistische Parolen riefen, wählte ein Zeuge gestern Nachmittag den polizeilichen Notruf. Gegen 15:20 Uhr erhielt die Besatzung eines Einsatzwagens vom Abschnitt 32 den Auftrag, zu dem Verdacht einer Straftat am Barnimplatz zu fahren. Am Einsatzort trafen die Polizeikräfte auf eine Gruppe sechs junger Personen, von denen sich zwei zum Tatvorwurf äußerten. Demnach sollen drei Heranwachsende im Alter von 18 und 19 Jahren mehrfach und für umstehende Passanten hörbar nationalsozialistische Parolen gerufen haben. Dabei habe es sich nach Aussage eines Tatverdächtigen um einen Spaß gehandelt. Nach erfolgter Identitätsfeststellung durften alle Beteiligten ihren Weg fortsetzen. Die weiteren Ermittlungen werden nun von einem Fachkommissariat des Polizeilichen Staatsschutzes geführt.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1552328.php
Verkehrsunfall – Betonmischer-Trommel beim Abbiegen auf die Fahrbahn gefallen,16.04.2025,Treptow-Köpenick,"Nr. 0956
Gestern Vormittag löste sich eine Betonmischer-Trommel in Oberschöneweide vom dazugehörigen Fahrzeug. Gegen 10:30 Uhr befuhr der 64-jährige Fahrer des Betonmischers die Spindlersfelder Straße. Nach derzeitigen Erkenntnissen löste sich beim Linksabbiegen in die Straße An der Wuhlheide die Trommel des Betonmischers und fiel auf die Fahrbahn. Ein 67 Jahre alter Zeuge, der mit einem Auto auf der rechten Linksabbiegerspur neben dem Betonmischer unterwegs war, habe rechtzeitig bremsen können, weshalb es nicht zu einer Kollision mit der heruntergefallenen Trommel gekommen sei. Es wurde niemand verletzt. Durch den Aufprall der Trommel auf der Fahrbahn wurde die Fahrbahnoberfläche beschädigt. Zudem lief Beton aus der Trommel auf der Straße aus. Die Feuerwehr band ausgelaufene Betriebsmittel ab und beseitigte den Beton von der Fahrbahn. Der Betonmischer wurde zum Zwecke der Erstellung eines technischen Gutachtens sichergestellt. Bis etwa 23:30 Uhr blieb der Unfallort während
    der Sachverhaltsaufnahme und der Reinigungsarbeiten bis zur Straße zum FEZ in Fahrtrichtung Weißkopfstraße gesperrt. Das Fachkommissariat für Verkehrsdelikte der Polizeidirektion 3 (Ost) hat die weiteren Ermittlungen übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1552323.php
Nach Erpressungsversuch in die Flucht geschlagen,15.04.2025,Friedrichshain-Kreuzberg,"Nr. 0955
Gestern Nachmittag forderten in Friedrichshain zwei bisher unbekannte Männer Geld in einem Café, ergriffen nach einer körperlichen Auseinandersetzung jedoch die Flucht. Nach bisherigen Aussagen betraten sie gegen 15:30 Uhr das Geschäft in der Neuen Bahnhofstraße und drohten den Mitarbeitenden an, dass es sich nachteilhaft auf das laufende Geschäft auswirken werde, wenn sie der Geldforderung nicht nachkämen. Daraufhin entbrannte eine gewaltsame Auseinandersetzung, bei der durch einen der Angreifer auch ein Messer gezogen worden sein soll. Weitere Personen hätten das Café betreten, es sei mit Stühlen und Tischen geworfen worden. Anschließend hätten zumindest drei beschriebene Tatverdächtige ohne Beute die Flucht ergriffen. Die beiden 36- und 44- jährigen Mitarbeitenden erlitten Verletzungen; die des Jüngeren wurden noch am Ort, die des Älteren ambulant im Krankenhaus behandelt. Das Raubkommissariat der Polizeidirektion 5 (City) ermittelt.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1552224.php
Motorradfahrer fährt Mann an,15.04.2025,Friedrichshain-Kreuzberg,"Nr. 0954
In Friedrichshain fuhr gestern Abend ein Motorradfahrer einen auf die Straße tretenden Mann an. Nach den bisherigen Aussagen sei der 39-Jährige gegen 18 Uhr mit seinem Motorrad auf der Frankfurter Allee in Richtung Karl-Marx-Allee gefahren, als ein 58-Jähriger plötzlich vor ihm auf die Straße lief. Der Motorradfahrer verlor die Kontrolle über sein Fahrzeug und stürzte. Alarmierte Rettungskräfte brachten ihn mit einer erlittenen Beinverletzung in ein Krankenhaus, in dem er stationär aufgenommen wurde. Ein Atemalkoholtest beim Fußgänger ergab einen Wert von 2,7 Promille. Die weiteren Ermittlungen zum konkreten Unfallhergang führt ein Fachkommissariat für Verkehrsdelikte der Polizeidirektion 5 (City).",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1552222.php
Durchsuchungen und Festnahmen wegen des Verdachts der Schutzgelderpressung,15.04.2025,bezirksübergreifend,"Neukölln/Steglitz-Zehlendorf
Gemeinsame Meldung Polizei und Staatsanwaltschaft Berlin
Nr. 0953
Vier Mitglieder einer polizeibekannten libanesischen Großfamilie wurden heute wegen Verdachts der räuberischen Erpressung aufgrund bereits zuvor erwirkter Haftbefehle festgenommen. Zudem durchsuchten Einsatzkräfte des Referats Kriminalitätsbekämpfung der Direktion 2 im Auftrag der Staatsanwaltschaft Berlin deren Wohnungen in Rudow, Britz und Steglitz und vollstreckten Arrestbeschlüsse über 40.000 Euro. Die vier Beschuldigten im Alter von 20, 27, 28 und 53 Jahren sollen zwischen Mitte Dezember 2024 und Mitte März 2025 einen 41-Jährigen zur Zahlung von als „Schutzgeld“ bezeichneten Bargeld-Beträgen zur Vermeidung von „unangenehmen Überraschungen“ genötigt haben. Diese sollen sie im weiteren Verlauf und als die Zahlungen nicht in der von ihnen gewünschten Höhe erfolgten, weiter konkretisiert haben. So sollen sie Brandlegungen am Fahrzeug des Mannes, in dessen Geschäft und in seiner Wohnung benannt haben und zudem erklärt haben zu wissen, in welche
    Kindertagesstätte dessen Kinder gingen. Insgesamt vier Mal soll der Mann jeweils 10.000 Euro an die vier Beschuldigten gezahlt haben. Ob der Umstand, dass in der Nacht vom 15. auf den 16. März 2025 drei seiner Fahrzeuge tatsächlich in Brand gesetzt worden sind, wodurch ein Schaden in Höhe von etwa 500.000 Euro entstand, tatsächlich auch den vier Beschuldigten zuzurechnen ist, ist Teil der nach wie vor andauernden Ermittlungen. Die Durchsuchungen führten zur Sicherung von Vermögenswerten in fünfstelliger Höhe und zum Auffinden von Beweismitteln, insbesondere Mobiltelefonen, deren Auswertung andauert.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1552215.php
Festnahme nach mutmaßlichem Drogenhandel,15.04.2025,Mitte,"Nr. 0952
Gestern Nachmittag nahmen Polizeibeamte zwei Männer in Mitte fest. Einsatzkräfte der 16. Einsatzhundertschaft beobachten gegen 16 Uhr auf einem Bahngleis im U-Bahnhof Heinrich-Heine-Straße zwei 23 und 45 Jahre alte Männer bei einem möglichen Drogenhandel und überprüften beide Personen im Anschluss. Die Überprüfung des 45-jährigen Erwerbers führte zum Auffinden einer Kugel Heroin. Bei der Überprüfung des Händlers fanden die Beamten zwei Handys, Bargeld sowie ein Werkzeugtool. Die Gegenstände wurden beschlagnahmt. Zusätzlich stellten die Polizeikräfte fest, dass gegen den Händler ein Haftbefehl wegen eines ähnlich gelagerten Falles vorliegt. Er wurde in ein Gewahrsam gebracht. Der Erwerber konnte seinen Weg nach Abschluss der polizeilichen Maßnahmen fortsetzen. Die weiteren Ermittlungen führt das Landeskriminalamt.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1552210.php
Autofahrer fährt Fußgänger an,15.04.2025,Friedrichshain-Kreuzberg,"Nr. 0951
Gestern Abend kam es in Friedrichshain zu einem Verkehrsunfall. Nach ersten Ermittlungen und Zeugenaussagen überquerte ein 35-jähriger Fußgänger gegen 18 Uhr die Warschauer Straße auf Höhe des U-Bahnhof Warschauer Straße, als er von dem 36-jährigen Fahrer eines Autos angefahren wurde. Der Fußgänger wurde dabei verletzt und von alarmierten Rettungskräften zur weiteren Behandlung in ein Krankenhaus gebracht. Die weiteren Ermittlungen zum Unfallhergang führt ein Fachkommissariat für Verkehrsdelikte der Polizeidirektion 5 (City).",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1552189.php
