Title,Date,Location,Text,URL
Diebstahl von Kabeln,17.06.2025,"Neustadt, Packhofstraße, Brandenburg an der Havel","Ein Zeuge teilte der Polizei telefonisch mit, dass bei den Vorbereitungen für das Havelfest Kabel entwendet wurden. Beim Eintreffen der Beamten waren die Aufbauarbeiten bereits im Gange. Nach Schilderung der vorliegenden Erkenntnisse wurde bekannt, dass über den Festplatz verlegte Kupferkabel durch die Täter abgeschnitten und entwendet wurden. Durch die Beamten wurde eine Spurensuche und –sicherung durchgeführt. Die weiteren Ermittlungen werden durch die Kriminalpolizei geführt.",https://polizei.brandenburg.de/pressemeldung/diebstahl-von-kabeln/5610634
Als Kriminalbeamter ausgegeben,17.06.2025,"Neuruppin, Ostprignitz-Ruppin","Im Bereich Ostprignitz-Ruppin ist es gestern zwischen 21:20 Uhr und 22:30 Uhr wiederholt zu Anrufen im Zuge eines möglichen Betruges gekommen. Eine zwölfjährige Wustrauerin erhielt einen Anruf einer unbekannten Nummer. Über eine Bandansage gab sich ein unbekannter Mann hier offenbar als Beamter der Kriminalpolizei aus. Der vermeintliche Kriminalbeamte vermittelte dem Mädchen, sie würde überwacht werden. Die Zwölfjährige reagierte richtig, legte auf und informierte die Polizei.
Im Ortsteil Bechlin-Bütow wurde ein 85-jähriger Mann durch vermeintliche Polizeibeamte angerufen, man hätte wohl in der Nähe seiner Anschrift Einbrecher festgestellt. Als der Unbekannte am Telefon auf den Einbruch eingehen wollte, legte der Bechliner auf. Er erkannte die Masche. Die Kriminalpolizei ermittelt nun wegen des versuchten Betruges und Amtsanmaßung. Ein Schaden ist nicht entstanden.",https://polizei.brandenburg.de/pressemeldung/als-kriminalbeamter-ausgegeben/5610608
Um Bargeld betrogen,17.06.2025,"Rheinsberg, Ostprignitz-Ruppin",Bereits am 05.06.2025 ist ein 86-jähriger Rheinsberger durch bislang unbekannte Täter betrogen worden. Die zwei unbekannten Männer wollten das Hausdach des 86-Jährigen neu eindecken und benötigten im Voraus Bargeld für Material. Die Reparaturen des Daches wurden bis zum 16.06.2025 nicht durchgeführt. Es entstand ein Sachschaden im mittleren vierstelligen Bereich. Die Kriminalpolizei ermittelt nun wegen Betruges.,https://polizei.brandenburg.de/pressemeldung/um-bargeld-betrogen/5610607
Wieder in Mehrfamilienhäuser eingestiegen,17.06.2025,"Oranienburg, Oberhavel","In der Zeit vom 11.06.2025 bis 16.06.2025 sind bisher unbekannte Personen in mehrere Wohnungen zweier Mehrfamilienhäuser in der Arthur-Becker-Straße und in der Walther-Bothe-Straße eingebrochen. In einem Mehrfamilienhaus der Arthur-Becker-Straße markierten unbekannte Täter bereits zwei Wohnungseingangstüren mit Klebefäden und verschafften sich danach Zutritt zu einer Wohnung. Was entwendet worden ist, konnte durch eine 63-jährige Wohnungsinhaberin noch nicht mitgeteilt werden.
In dem Mehrfamilienhaus in der Walther-Bothe-Straße wurde durch Unbekannte versucht, in die Wohnung einer 65-Jährigen einzudringen. Dazu wurden Klebefäden an der Wohnungseingangstür befestigt. Es kam hier zu keinem Einbruch in die Wohnung. Auch an anderen Wohnungseingangstüren konnten die Beamten Klebefäden auffinden. In allen Fällen sicherten Kriminaltechniker Spuren. Gegenstand weiterer Ermittlungen ist nun, ob die Taten im Zusammenhang stehen. Es entstand ein Gesamtschaden von ca. 5.000 Euro.
Die Polizei warnt vor einer neuen Masche von Einbrechern, die Klebefäden an Eingangstüren anbringen, um die Abwesenheit der Hausbewohner zu erkennen. Die Fäden aus Klebstoffen werden zwischen Tür und Türrahmen meist außerhalb des Sichtfeldes angebracht. Sollten Sie solche Klebefäden an Haus- oder Wohnungseingangstüren ihrer Nachbarn oder an Ihrer Tür feststellen, informieren Sie umgehend die Polizei und zerstören Sie keinesfalls die Kleberückstände, da Kriminaltechniker diese als Beweismittel sichern.",https://polizei.brandenburg.de/pressemeldung/wieder-in-mehrfamilienhaeuser-eingestieg/5610616
Einbrüche in Keller,16.06.2025,"Teltow, Iserstraße, Potsdam-Mittelmark","Durch Zeugen wurde mitgeteilt, dass bislang unbekannte Täter gewaltsam diverse Mieterkeller in zwei Mehrfamilienhäusern in Teltow aufgebrochen haben. In den Kellerbereich selbst gelangten die Täter jedoch offenbar ohne Gewaltanwendung. Insgesamt waren zehn Mieterkeller betroffen und es wurde u.a. Werkzeug entwendet. Zur Spurensuche und -sicherung wurde die Kriminaltechnik zum Einsatz gebracht. Es entstand nach bisherigen Ermittlungsstand ein Sachschaden von ca. 5.000 Euro. Ein Ermittlungsverfahren wegen des besonders schweren Falls des Diebstahls wurde aufgenommen.",https://polizei.brandenburg.de/pressemeldung/einbrueche-in-keller/5609791
Mit Schreckschusspistole hantiert,16.06.2025,"Gosen-Neu Zittau, Oder-Spree","Am frühen Morgen des 15.06.2025 wurden Polizisten in die Seestraße gerufen. Dort hatte ein junger Mann Hinweisen zufolge mit einer Pistole hantiert und damit auch mehrfach in die Luft geschossen.
Erste Ermittlungen ließen schnell einen 17 Jahre alten deutschen Staatsbürger in den Fokus der Polizei geraten. Er gab den Beamten eine Schreckschusspistole heraus und wird sich nun wegen Verstoßes gegen das Waffengesetz zu verantworten haben.",https://polizei.brandenburg.de/pressemeldung/mit-schreckschusspistole-hantiert/5609785
Mutmaßlich Tatbeteiligten gestellt,16.06.2025,"Fürstenwalde/Spree, Oder-Spree","Am Vormittag des 15.06.2025 öffnete ein Mieter in der Magnus-Poser-Straße seine Wohnungstür, als er von noch Unbekannten mit Fäusten geschlagen und im Gesicht verletzt wurde. Nach ersten Angaben handelte es sich bei den Angreifern um zwei Personen, die den 45-Jährigen in die Wohnung drängten und dort weiter attackierten. Der polizeilich nicht unbekannte Geschädigte trug dabei auch Verletzungen davon, die später im Krankenhaus behandelt werden mussten.
Gegen 11:30 Uhr meldete sich dann ein Zeuge, der in der Ernst-Thälmann-Straße einen Randalierer ausgemacht hatte, welcher gerade die Tür eines Mehrfamilienhauses bearbeitete. Polizisten konnten den Mann auf Grund einer sehr guten Personenbeschreibung greifen. Der 28-Jährige hatte einen Atemalkoholwert von 2,04 Promille aufzuweisen und gab sich widerständig. Das brachte ihm Handfesseln sowie einen Aufenthalt im polizeilichen Gewahrsam ein. Auch er ist der Polizei bereits hinlänglich bekannt.
Erste Ermittlungen und aufgefundene Spuren ließen den Verdacht aufkommen, dass derjenige sich am Geschehen in der Magnus-Poser-Straße beteiligt haben könnte. Die Kriminalpolizei hat sich der Sache angenommen und ermittelt nun, ob dies tatsächlich der Fall gewesen ist, wenn ja, wer sein Komplize war und welche Motivation das Ganze eigentlich hatte.",https://polizei.brandenburg.de/pressemeldung/mutmasslich-tatbeteiligten-gestellt/5609784
Vor Kontrolle geflohen,16.06.2025,"Bad Freienwalde, Märkisch-Oderland","Am späten Vormittag des 15.06.2025 wollte sich Polizisten den Fahrer eines Opel Corsas einmal genauer besehen. Das Auto war ihnen in der Sonnenburger Straße aufgefallen. Als der Mann des Funkwagens gewahr wurde, beschleunigte er und missachte in der Folge auch sämtliche Anhalteaufforderungen. Schließlich prallte er in der Straße An der Köhlerei mit dem Fahrzeug gegen eine Schrankenanlage. Umgehend öffnete sich die Fahrertür und rannte der renitente Herr davon.
Wie sich herausstellte, waren die angebrachten Kennzeichentafeln gestohlen und der Opel gar nicht zugelassen.
Wer es da so eilig gehabt hatte zu verschwinden, wird nun von der Kriminalpolizei ermittelt.",https://polizei.brandenburg.de/pressemeldung/vor-kontrolle-geflohen/5609775
Ermittlungen laufen,16.06.2025,"Bad Freienwalde, Märkisch-Oderland","Nachdem am 15.06.2025 während einer Versammlung unter dem Motto „Für ein buntes Bad Freienwalde“ in der Karl-Marx-Straße Teilnehmer von noch Unbekannten attackiert worden waren, hatte die Polizei umgehend Fahndungsmaßnahmen eingeleitet. Diese führten jedoch nicht zur Ergreifung von Tatverdächtigen.
Nun wurde eine Ermittlungsgruppe unter Federführung des Polizeilichen Staatsschutzes der Direktion Ost in Zusammenwirken mit der zuständigen Inspektion Märkisch-Oderland gebildet, die dem Verdacht des schweren Landfriedensbruches nachgeht.
Die Ermittler bitten in diese Zusammenhang auch weiterhin um Hinweise aus der Bevölkerung. Von besonderem Interesse sind dabei Fotos und Videomaterial, die das Geschehen vom 15.06.2025 in der Karl-Marx-Straße zeigen.
Wer derartiges zur Verfügung stellen kann oder weitere Hinweise parat hat, die zur Aufklärung des Ganzen beitragen könnten, wird gebeten, sich unter der Rufnummer
03341-3300
an die Polizeiinspektion Märkisch-Oderland zu wenden oder dafür die Internetwache der Brandenburger Polizei via
polbb.eu/hinweis
zu nutzen.",https://polizei.brandenburg.de/pressemeldung/ermittlungen-laufen/5609768
Schmierfinken gestellt,16.06.2025,"Eberswalde, Barnim","Am Nachmittag des 15.06.2025 griffen sich Polizisten einen 22 Jahre alten Mann, der an einer Hauswand in der Ruhlaer Straße ein meterhohes Graffito hinterlassen hatte. Bei dem Tatverdächtigen fand man dann auch eine Spraydose sowie Handschuhe. Der Einheimische wird sich nun für sein Tun zu verantworten haben.",https://polizei.brandenburg.de/pressemeldung/schmierfinken-gestellt/5609761
Tatverdächtige gestellt,16.06.2025,"Bernau b. Berlin, Barnim","Am späten Abend des 13.06.2025 wurden mehrere Personen dabei beobachtet, wie sie eine Hauswand neben dem Büro der Partei „DIE LINKE“ mit Graffiti beschmierten. Dann verschwanden die Schmierfinken vom Ort des Geschehens. Mit einer sehr guten Beschreibung versehen, sahen alarmierte Polizisten sehr genau hin und entdeckten tatsächlich noch in der Nähe des Tatortes in der Berliner Straße sechs junge Leute, auf welche die Beschreibung der Gesuchten passte. Während zwei 14 und 17 Jahre alten Mädchen noch nie auffällig geworden waren, erwiesen sich zwei ihrer vier männlichen Begleiter als bereits polizeilich bekannt. Sowohl die Damen als auch die 15-(zweimal), 17- und 25-jährigen Herren müssen nun erklären, was es mit den Farbrückständen auf sich hat, die identisch mit der Farbe der aufgebrachten Graffiti in der Berliner Straße waren. Zudem wurden mehrere Permanentmarker bei ihnen aufgefunden und sichergestellt.",https://polizei.brandenburg.de/pressemeldung/tatverdaechtige-gestellt/5609755
In Tankstelle eingebrochen,16.06.2025,"Mühlenbeck, Oberhavel","An einer Tankstelle in der Liebenwalder Straße ist gestern gegen 01:45 Uhr eingebrochen worden. Ein Wachschutzunternehmen meldete der Polizei einen Einbruchsalarm. Um in die Tankstelle zu gelangen, öffneten die Täter die Eingangstür und drückten die Rollläden hoch. Die bislang unbekannten Täter waren bei Eintreffen der Polizei nicht mehr am Tatort. Nach dem Diebstahl eines Tresors, in dem sich Bargeld befand, flüchteten sie mit einem Pkw in unbekannte Richtung. Die Kriminaltechnik kam zum Einsatz und sicherte Spuren. Der Gesamtschaden beläuft sich auf einem mittleren fünfstelligen Betrag.",https://polizei.brandenburg.de/pressemeldung/in-tankstelle-eingebrochen/5609754
Fahrzeuge beschädigt und geflüchtet,16.06.2025,"Wusterhausen/Dosse, Ostprignitz-Ruppin","Am Sonntag gegen 20:30 Uhr hat sich ein 35-jähriger Ostprignitz-Ruppiner nach einer Sachbeschädigung an Fahrzeugen in der Domstraße aggressiv gegenüber Polizeibeamten verhalten. Zeugen hatten den Mann bemerkt, als er die Fahrzeuge beschädigte und informierten die Polizei. Die Beamten trafen den 35-Jährigen in der Nähe des Tatortes an. Der Mann bewaffnete sich mit einem abgebrochenen Flaschenhals und kündigte gegenüber den Beamten Widerstand an. Da er den Flaschenhals nicht ablegte, wurde das Distanz-Elektro-Impuls-Gerät durch die Beamten angedroht und eingesetzt. Der Deutsche flüchtete und konnte kurze Zeit später in Kyritz gestellt werden. Dabei beleidigte und bespuckte er die Beamten, beschädigte sogar den Funkstreifenwagen. Offenbar befand sich der Ostprignitz-Ruppiner in einem psychischen Ausnahmezustand. In Begleitung der Polizisten wurde er durch den Rettungsdienst in ein Krankenhaus gebracht. Er versuchte dort weiterhin, die Kollegen zu beißen. Die Beamten blieben dienstfähig. Eine Blutprobenentnahme wurde durch die Staatsanwaltschaft angeordnet und durch einen Arzt im Krankenhaus durchgeführt. Es entstand ein Sachschaden von ca. 3.000 Euro. Die Kriminalpolizei ermittelt nun wegen Sachbeschädigung, Bedrohung, Beleidigung und des versuchten Angriffs auf Vollstreckungsbeamte.",https://polizei.brandenburg.de/pressemeldung/fahrzeuge-beschaedigt-und-gefluechtet/5609746
Großeinsatz der Polizei,16.06.2025,"Karstädt, Prignitz","Ein 60-Jähriger hat am Samstag um 20:25 Uhr einen Großeinsatz der Polizei ausgelöst. Der Karstädter wollte in einem Supermarkt in der Straße des Friedens einkaufen, führte dabei einen waffenähnlichen Gegenstand mit und hielt den Lauf in Richtung der Decke. Nachdem er seine Waren bezahlt hatte, verließ er den Markt und fuhr mit einem Pkw los. Zwei Mitarbeiterinnen des Marktes informierten die Polizei. An der Wohnanschrift des 60-Jährigen drohte er den Beamten. Offenbar befand er sich in einem psychischen Ausnahmezustand und schloss sich in seiner Wohnung ein. Auch aufgrund von Äußerungen, die er während eines Telefonates mit dem Einsatz- und Lagezentrum tätigte, wurde die Verhandlungsgruppe der Polizei eingesetzt. Dieser gelang es, den 60-Jährigen zu überzeugen, die Wohnung zu verlassen. Anschließend konnte er durch das Sondereinsatzkommando festgenommen werden, dabei wurde niemand verletzt. Ein Atemalkoholtest ergab einen Wert von 1,35 Promille. Bei der Durchsuchung der Wohnung konnten unter anderem eine Schreckschusswaffe, ein Federdruckgewehr und ein Tierabwehrspray aufgefunden und sichergestellt werden. In Begleitung der Polizei wurde der Mann mit einem Rettungswagen in einem Krankenhaus untergebracht. Die Kriminalpolizei ermittelt nun wegen des Verstoßes gegen das Waffengesetz und Bedrohung.",https://polizei.brandenburg.de/pressemeldung/grosseinsatz-der-polizei/5609747
In Mehrfamilienhäuser eingesteigen,16.06.2025,"Oranienburg, Oberhavel","In der Zeit vom 13.06.2025 bis 15.06.2025 sind bisher unbekannte Personen in mehrere Wohnungen zweier Mehrfamilienhäuser in der Walther-Bothe-Straße eingebrochen.
In einem Mehrfamilienhaus verschafften sich die Unbekannten über die Wohnungseingangstüren Zutritt zu zwei Wohnungen. Nach ersten Erkenntnissen wurde nichts entwendet. In dem anderen Mehrfamilienhaus wurde ebenfalls eine Wohnungseingangstür aufgebrochen, die Räume der Wohnung durchwühlt und Bargeld entwendet. In allen drei Fällen sicherte die Kriminaltechnik Spuren. Gegenstand weiterer Ermittlungen ist nun, ob die Taten im Zusammenhang stehen. Es entstand ein Gesamtschaden von ca. 1.000 Euro.",https://polizei.brandenburg.de/pressemeldung/in-mehrfamilienhaeuser-eingesteigen/5609752
Crossmaschine aus einer Garage gestohlen,16.06.2025,"Elsterwerda, Elbe-Elster","In den frühen Morgenstunden des Sonntags hatten es Kriminelle offenbar auf den Garagenkomplex im Schmalen Weg abgesehen. Aus einer Garage war ein KAWASAKI-Motorrad entwendet worden.
Im Zuge der Anzeigenaufnahme wurde gleichzeitig die internationale Fahndung nach dem grünen Vollcross-Modell KXF250 aktiviert.",https://polizei.brandenburg.de/pressemeldung/crossmaschine-aus-einer-garage-gestohlen/5609694
E-Scooter gestohlen,16.06.2025,"Finsterwalde, Elbe-Elster","Am Sonntagnachmittag wurde der Polizei ein Fahrzeugdiebstahl angezeigt, der in der vergangenen Nacht verübt worden war.
Vom Krankenhausparkplatz in der Kirchhainer Straße war ein gesichert abgestellter E-Scooter gestohlen worden und gleichzeitig mit der Anzeigenaufnahme wurde die internationale Fahndung nach dem Modell „LuvTour“ eingeleitet.",https://polizei.brandenburg.de/pressemeldung/e-scooter-gestohlen/5609692
Rüttelplatte gestohlen,16.06.2025,"Ruhland, Oberspreewald-Lausitz","Diebe trieben am vergangenen Wochenende ihr Unwesen auf einem Grundstück in der Dresdener Straße. Die Täter hatten hier zwei Container aufgebrochen und eine Rüttelplatte gestohlen.
Der entstandene Sachschaden wurde mit rund 5.000 Euro angegeben. Die Polizei leitete weiterführende Ermittlungen ein.",https://polizei.brandenburg.de/pressemeldung/ruettelplatte-gestohlen/5609690
Garagen aufgebrochen,16.06.2025,"Calau, Oberspreewald-Lausitz","Sonntagnachmittag wurden der Polizei Garageneinbrüche in der Otto-Nuschke-Straße gemeldet. Insgesamt waren hier drei Garagen aufgebrochen worden, bei zwei weiteren blieb es beim Versuch.
Was im Einzelnen entwendet wurde, ist nun Gegenstand weiterer Ermittlungen. Die entstandenen Sachschäden wurden mit rund 5.000 Euro beziffert.",https://polizei.brandenburg.de/pressemeldung/garagen-aufgebrochen/5609689
Werkzeuge aus Lagerraum gestohlen,16.06.2025,"Golßen, Dahme-Spreewald","Am Montagmorgen wurde die Polizei zu Schichtbeginn in den Ortsteil Zützen gerufen, wo Kriminelle am Wochenende eine Firma in der Straße Drei Ruten heimgesucht hatten. Nach dem Aufbrechen eines Lagers hatten sie es offenbar auf Werkzeuge abgesehen und dem Betrieb einen fünfstelligen Schaden zugefügt.
Im Verlauf des Vormittages kamen im Rahmen der Spurensicherung Kriminaltechniker zum Einsatz.",https://polizei.brandenburg.de/pressemeldung/werkzeuge-aus-lagerraum-gestohlen/5609675
Autodiebstahl,16.06.2025,"Luckau, Dahme-Spreewald","Der Diebstahl eines PKW KIA in der Lindenstraße war der Polizei am Montagmorgen gemeldet worden.
Kriminelle hatten es auf das graue Plug-In-Hybrid-Modell „C’EED“ abgesehen, das nun in die internationale Fahndung aufgenommen wurde.",https://polizei.brandenburg.de/pressemeldung/autodiebstahl/5609674
Ermittlungen nach Unfallflucht,16.06.2025,"Lübben, Dahme-Spreewald","Ein Verkehrsunfall, der sich in der Majoransheide bereits am Sonntagmorgen ereignet hatte, wurde der Polizei zum Wochenbeginn angezeigt. Zwei Straßenlaternen und eine Hecke waren von einem zunächst unbekannten LKW, offenbar beim Rangieren, erheblich beschädigt worden.
Anhand er Auswertung von Beweismitteln und der Ermittlungen konnten sowohl der MERCEDES, als auch der 41-jährige Fahrer identifiziert werden, so dass weitere Ermittlungen durch die Kriminalpolizei geführt werden.",https://polizei.brandenburg.de/pressemeldung/ermittlungen-nach-unfallflucht/5609670
Simson und Opel gestohlen,16.06.2025,"Guben, Spree-Neiße","Montagmorgen wurden der Polizei zwei Diebstähle aus Guben gemeldet. Im Laufe der vergangenen Nacht war von einem Grundstück am Wilschwitzer Weg ein MOPED verschwunden. In der Goethestraße mussten die Eigentümer eines PKW OPEL feststellen, dass ihr Auto gestohlen worden war.
Die Polizei leitete mit den Anzeigen umgehend internationale Fahndungsmaßnahmen nach dem blauen SIMSON K50 und dem blau-grauen MERIVA ein.",https://polizei.brandenburg.de/pressemeldung/simson-und-opel-gestohlen/5609658
Kabel von Baustelle gestohlen,16.06.2025,"Cottbus, Cottbus","Diebe haben am vergangenen Wochenende auf einer Baustelle an der Otto-Enke-Straße ihr Unwesen getrieben. Die Täter hatten hier über 100 Meter eines Starkstromkabels gestohlen und so einen Schaden von rund 10.000 Euro verursacht.
Die hinzugerufenen Polizisten sicherten Spuren am Ort des Geschehens und leiteten weiterführende Ermittlungen ein.",https://polizei.brandenburg.de/pressemeldung/kabel-von-baustelle-gestohlen/5609644
Erheblich alkoholisiert mit dem Fahrrad unterwegs,16.06.2025,"Cottbus, Cottbus","Erheblich alkoholisiert war ein Fahrradfahrer am Montagfrüh in Sandow unterwegs. Beamten war der Mann kurz nach 03:00 Uhr aufgefallen. Ein Atemalkoholtest bestätigte mit einem Ergebnis von rund zwei Promille den Verdacht einer Trunkenheitsfahrt.
Zur Sicherung von Beweisen wurde daher eine Blutprobe veranlasst, ein Strafverfahren eingeleitet und dem Mann die Weiterfahrt untersagt.",https://polizei.brandenburg.de/pressemeldung/erheblich-alkoholisiert-mit-dem-fahrrad-/5609643
"Fahrrad, Drogen und Messer sichergestellt",16.06.2025,"Cottbus, Cottbus","Montagfrüh kontrollierten Polizisten zwei Männer im Stadtteil Sachsendorf. Einer der beiden, ein 37-Jähriger Mann, hatte ein Fahrrad der Marke Cube bei sich, das als gestohlen in Fahndung stand. Bei ihm fanden die Beamten auch Tabletten und ein Cliptütchen mit einer kristallinen Substanz.
Der Zweite, ein 56-Jähriger, führte ein Einhandmesser bei sich. Das Fahrrad, die vermeintlichen Drogen sowie das Messer wurden sichergestellt und entsprechende Strafverfahren eingeleitet.",https://polizei.brandenburg.de/pressemeldung/fahrrad-drogen-und-messer-sichergestellt/5609639
Einbruch in Büroräume,16.06.2025,"Rangsdorf, Teltow-Fläming","In der Nacht zu Sonntag sind bislang unbekannte Täter in ein Geschäft in Rangsdorf eingedrungen. Polizeibeamte stellten vor Ort fest, dass die Täter eine Leiter genutzt haben, um über eines der oberen Fenster ins Gebäude einzubrechen. Im Objekt haben sie dann mehrere Büroräume durchwühlt und nach ersten Erkenntnissen eine Geldkassette entwendet. Der entstandene Schaden wird auf etwa 300 Euro geschätzt. Die Polizisten sicherten Spuren und nahmen eine Strafanzeige auf.",https://polizei.brandenburg.de/pressemeldung/einbruch-in-bueroraeume/5609762
Bei Streitigkeiten verletzt,16.06.2025,"Jüterbog, Kloster Zinna, Teltow-Fläming","Polizei und Rettungsdienst wurden am Samstagnachmittag nach Kloster Zinna gerufen. Dort kam es nach der körperlichen Auseinandersetzung zweier Männer zu einer Verletzung eines 26-jährigen Beteiligten. Dieser wurde zuvor, im Rahmen eines Streites mit einem Küchenmesser bedroht und erlitt dabei leichte Verletzungen an der Hand. Der Beschuldigte, ein 34-jähriger Mann flüchtete daraufhin und war bei Eintreffen der Rettungskräfte nicht mehr vor Ort. Auch Fahndungsmaßnahmen verliefen bislang ergebnislos. Aufgrund einer Sprachbarriere als auch einer fortgeschrittenen Alkoholisierung war die Klärung der Streitursache nur schwer möglich. Die Polizei hat nun Ermittlungen wegen eines Körperverletzungsdeliktes eingeleitet. Sie stellten zudem das Küchenmesser und Reste betäubungsmittelähnlicher Substanzen sicher.",https://polizei.brandenburg.de/pressemeldung/bei-streitigkeiten-verletzt/5609568
Hilfloser Mann droht Polizisten,16.06.2025,"Ludwigsfelde, Oderstraße, Teltow-Fläming","Polizisten wurden in der Nacht zum Sonntag in die Oderstraße gerufen. Dort wurde eine hilflose Person gemeldet. Als die Beamten dann eintrafen, trafen sie auf einen älteren, offensichtlich alkoholisierten verwirrten Mann, der zudem suizidale Absichten äußerte. Als dieser dann versuchte dann vor den Polizisten zu flüchten, wurde er von den Beamten festgehalten. Dabei packte er einen Beamten an der Weste und drohte, dass er gleich alle „umhauen“ werde. Um der Drohung keine Substanz zu verleihen und die Gefahr für sich und andere abzuwehren wollten ihn die Beamten festhalten. Da er sich jedoch dagegen wehrte musste von den Beamten mit einfacher körperlicher Gewalt auf den Boden gebracht und dort fixiert werden. Dabei habe sich der Mann leicht verletzt. Anschließend wurde er von Rettungskräften behandelt und in ein Krankenhaus gebracht. Bei der Aktion des Beschuldigten erlitt er im alkoholisierten Zustand einen kleinen Cut über dem rechten Auge.",https://polizei.brandenburg.de/pressemeldung/hilfloser-mann-droht-polizisten/5609567
Kennzeichen entwendet,16.06.2025,"Falkensee, Nauener Straße, Havelland","Bislang unbekannte Täter entwendeten in der Nacht auf Sonntag das hintere Kennzeichen eines PKW Chevrolet. Der 56-jährige Halter bemerkte dies am Sonntagvormittag und meldete dies der Polizei. Diese kamen vor Ort, sicherten Spuren und leiteten ein Ermittlungsverfahren wegen des Diebstahlsdelikts ein. Es entstand ein geschätzter Sachschaden von 50 Euro.",https://polizei.brandenburg.de/pressemeldung/kennzeichen-entwendet/5609382
E-Bikes bei Kellereinbruch gestohlen,16.06.2025,"Ludwigsfelde, Straße der Jugend, Teltow-Fläming","Zwei E-Bikes entwendeten bislang unbekannte Täter aus einem  Gemeinschaftskeller in Ludwigsfelde. Der Eigentümer hatte die Fahrräder im Keller sogar extra angeschlossen, um den Diebstahl zu verhindern. Die Polizei hat eine Strafanzeige aufgenommen, Spuren gesichert und die Fahndung eingleitet. Der Sachschaden wurde auf über 6.000 Euro geschätzt.",https://polizei.brandenburg.de/pressemeldung/e-bikes-bei-kellereinbruch-gestohlen/5609378
Einbruch in der Nacht,15.06.2025,"Schwielowsee OT Caputh, Potsdam-Mittelmark","In der Nacht von Freitag zu Samstag drangen unbekannte Personen gewaltsam in das Einfamilienhaus einer 62-jährigen ein und durchsuchten dieses nach wertintensiven Gegenständen. Die Geschädigte war zum Tatzeitpunkt zu Hause und nahm auch ungewöhnliche Geräusche in der Nacht war, dachte sich jedoch zunächst nichts dabei. Am Morgen stellte sie den Einbruch fest und informierte die Polizei. Vor Ort wurde die Kriminaltechnik für die Spurensuche eingesetzt. Zum Diebesgut können derzeit keine abschließenden Angaben gemacht werden. Ein Strafverfahren bezüglich des besonders schweren Fall des Diebstahls wurde eingeleitet.",https://polizei.brandenburg.de/pressemeldung/einbruch-in-der-nacht/5609967
