Title,Date,Location,Text,URL,RightWingRelated,KeywordMatch,OffenceType,Action,PossibleMotive
Keller aufgebrochen,10.03.2025,"Eisenhüttenstadt, Oder-Spree","Im Verlauf des 09.03.2025 wandten sich gleich zwei Eisenhüttenstädter an die Polizei, um anzuzeigen, dass Diebe sich in ihren Kellerverschlägen zu schaffen gemacht hatten.
So geschehen in der Diehloer Straße, wo den Tätern ein Herrenfahrrad in die Hände fiel. In der Saarlouiser Straße war es ein Musikinstrument, in diesem speziellen Fall ein Bariton, welches noch Unbekannte mit sich nahmen. Beide Male wird der materielle Schaden auf rund 1.000 Euro geschätzt.",https://polizei.brandenburg.de/pressemeldung/keller-aufgebrochen/5486361,False,,[],[],[]
Jugendlicher fiel unangenehm auf,10.03.2025,"Beeskow, Oder-Spree","Am Abend des 07.03.2025 fiel am Rande eines Volleyballturniers auf dem Sportplatz am Bertholdplatz ein junger Mann auf, als er nach einem Jugendlichen trat und Geld stahl, dass er auf einem Tisch entdeckt hatte. Zwar gab der 15-jährige Deutsche das Diebesgut zurück, als ihn Zeugen dazu aufforderten, doch trat er nun erneut zu und bedrohte den dabei Geschädigten auch noch. Trotz seines jugendlichen Alters ist der Delinquent bereits hinreichend bekannt und wird sich nun erneut zu verantworten haben.",https://polizei.brandenburg.de/pressemeldung/jugendlicher-fiel-unangenehm-auf/5486356,False,,[],[],[]
Ermittlungen laufen,10.03.2025,"Erkner, Oder-Spree","Am frühen Morgen des 08.03.2025 wandte sich eine Frau an die Polizei, nachdem sie in der Seestraße eine unliebsame Begegnung hatte. Die 39-jährige Deutsche war vom Bahnhof gekommen und über die Friedrichstraße bis in die Seestraße gelaufen, als sie plötzlich von einem noch Unbekannten von hinten an der Jacke gepackt wurde. Offensichtlich wollte der Täter die Jacke öffnen, musste nun jedoch erleben, wie sich die Angegriffene zur Wehr setzte und lauthals um Hilfe rief. Daraufhin flüchtete derjenige, nicht aber, ohne zuvor die Frau noch unflätig zu beleidigen.
Der Mann wird mit einer Größe von rund 180 cm und als mutmaßlich deutscher Staatsbürger beschrieben. Er soll von dünner Gestalt sein und trug kurze, leicht lockige Haare sowie eine Brille. Der Gesuchte war zur Tatzeit mit einer dunkelblau/schwarzen Jacke sowie einer dunkelblauen Jeanshose bekleidet gewesen. Die Kriminalpolizei ermittelt nun in der Sache.",https://polizei.brandenburg.de/pressemeldung/ermittlungen-laufen/5486345,False,,[],[],[]
Einbrecher im Haus,10.03.2025,"Hönow, Märkisch-Oderland",In der Nacht zum 09.03.2025 gelangten Einbrecher in ein Einfamilienhaus in der Krummen Straße. Nach ersten Erkenntnissen fiel ihnen dann beim Durchsuchen des Objektes Schmuck in die Hände. Jetzt wird zur Identität der Eindringlinge und zum Verbleib des Diebsgutes ermittelt.,https://polizei.brandenburg.de/pressemeldung/einbrecher-im-haus/5486343,False,,[],[],[]
Ein Fall für den Polizeilichen Staatsschutz,10.03.2025,"Vogelsdorf, Märkisch-Oderland","Am frühen Morgen des 09.03.2025 wandte sich ein Mann an die Polizei, nachdem er mitbekommen hatte, wie mehrere Personen durch die Ortschaft zogen und zu der Musik von „L´Amour Toujours“ volksverhetzende Parolen brüllten. In der Bohmstraße trafen Polizisten dann auf eine zwölfköpfige Personengruppe, gegen die sich nun der Verdacht richtet, mit dem Geschehen in Verbindung zu stehen. Ob es tatsächlich so war, muss jetzt der Polizeiliche Staatsschutz herausbekommen.",https://polizei.brandenburg.de/pressemeldung/ein-fall-fuer-den-polizeilichen-staatssc/5486325,True,Volksverhetzung,['Hate speech/Incitement'],"['Swastika', 'Graffiti']","['Racism', 'Antisemitism', 'Glorification of Nazism/Right-wing extremist']"
Der Staatsschutz ermittelt,10.03.2025,"Dahlwitz-Hoppegarten, Märkisch-Oderland","Am Abend des 08.03.2025 wurde im Bereich der Bahnunterführung Lindenallee ein meterhohes Hakenkreuz entdeckt. Wer es dort hingeschmiert hatte, wird nun vom Polizeilichen Staatsschutz der Direktion Ost ermittelt.",https://polizei.brandenburg.de/pressemeldung/der-staatsschutz-ermittelt/5486316,True,Hakenkreuz,"['Vandalism', 'Symbol use/Propaganda']","['Swastika', 'Hitlergruß']","['Racism', 'Glorification of Nazism/Right-wing extremist']"
Räuber schlugen auch noch zu,10.03.2025,"Eberswalde, Barnim","Am Abend des 08.03.2025 war ein 25 Jahre alter Mann zu Fuß im Ammonpark unterwegs, als ihn zwei noch Unbekannte ansprachen und die Herausgabe seines Portemonnaies forderten. Als der Angesprochene dieser Forderung nicht schnell genug nachkam, griffen ihn die Räuber mittels Pfefferspray an und schlugen und traten zudem auf ihn ein. Dann stahlen sie die Bauchtasche des Geschädigten, in der sich das Portemonnaie sowie dessen Mobiltelefon und persönliche Papiere befunden hatten. Auch seine Jacke nahmen die Täter mit sich. Um wen es sich dabei gehandelt hatte, wird nun von der Kriminalpolizei ermittelt.",https://polizei.brandenburg.de/pressemeldung/raeuber-schlugen-auch-noch-zu/5486294,False,,[],[],[]
Als Täter identifiziert,10.03.2025,"Bernau b. Berlin, Barnim","Am späten Abend des 07.03.2025 tat sich ein junger Mann damit hervor, zwei in der Dorfstraße im Ortsteil Schönow abgestellte Autos durch Tritte zu beschädigen. Ein aufmerksamer Zeuge bekam dies mit und verständigte die Polizei. Die Beamten griffen sich den 17-jährigen Deutschen, der trotz seiner Jugend bereits hinreichend Bekanntheit erlangt hat. Zudem fand man bei ihm eine Schreckschusswaffe, so dann nun nicht nur wegen der Sachbeschädigungen, sondern auch wegen Verstoßes gegen das Waffengesetz ermittelt wird.",https://polizei.brandenburg.de/pressemeldung/als-taeter-identifiziert/5486227,False,,[],[],[]
Hakenkreuz geschmiert,10.03.2025,"Ahrensfelde, Barnim","Wie der Polizei am 08.03.2025 angezeigt wurde, haben noch Unbekannte auf dem Fußgängerweg im Hellersdorfer Weg ein Hakenkreuz geschmiert. Jetzt wird ermittelt, wer sich da betätigte und welche Motivation diejenigen hatten.",https://polizei.brandenburg.de/pressemeldung/hakenkreuz-geschmiert/5486210,True,Hakenkreuz,"['Vandalism', 'Property damage']","['Swastika', 'Graffiti']","['Racism', 'Antisemitism', 'Glorification of Nazism/Right-wing extremist']"
Einbruchsdiebstahl,10.03.2025,"Tantow, Uckermark","Wie der Polizei am 09.03.2025 angezeigt wurde, haben sich noch Unbekannte Zutritt zu einem Einfamilienhaus in der Bahnhofsstraße verschafft. Von dort nahmen sie einen Fernseher und diverse Werkzeuge mit sich. Jetzt ermittelt die Kriminalpolizei zur Identität der Eindringlinge und zum Verbleib des Diebesgutes.",https://polizei.brandenburg.de/pressemeldung/einbruchsdiebstahl-/5486205,False,,[],[],[]
Schläger gestellt,10.03.2025,"Angermünde, Uckermark","Am Nachmittag des 08.03.2025 trafen in einer Gartenanlage in der Gartenstraße drei junge Männer aufeinander. Aus noch ungeklärter Ursache fingen plötzlich zwei der Herren an, auf den Dritten im Bunde einzuschlagen. Der 18-jährige Deutsche erlitt dabei auch Verletzungen, die später in einem Krankenhaus behandelt werden mussten. Die beiden Schläger flüchteten zunächst, konnten jedoch in Zusammenarbeit von Landes- und Bundespolizei bald darauf am Bahnhof gestellt werden. Bei ihnen handelte es sich um 17 und 22 Jahre alte deutsche Staatsbürger. Sie werden sich nun für ihr Handeln zu verantworten haben.",https://polizei.brandenburg.de/pressemeldung/schlaeger-gestellt/5486198,False,,[],[],[]
Einbrecher waren aktiv,10.03.2025,"Schwedt(Oder), Uckermark","Im Verlauf des nachmittäglichen 07.03.2025 machten sich noch Unbekannte an vier Wohnungstüren eines Mehrfamilienhauses in der Michail-Lomonossow-Straße zu schaffen. An drei Türen scheiterten sie, bis ihnen bei einer vierten der Aufbruch schließlich gelang. Sämtliche Schränke fanden sich in der betroffenen Wohnung durchwühlt vor. Nach ersten Erkenntnissen nahmen die Täter Bargeld mit sich. Kriminaltechniker sicherten später Spurenmaterial, welches nun ausgewertet wird.",https://polizei.brandenburg.de/pressemeldung/einbrecher-waren-aktiv-/5486180,False,,[],[],[]
In landwirtschaftlichen Betrieb eingebrochen,10.03.2025,"Bönitz, Elbe-Elster","Montagmorgen stellte eine Mitarbeiterin den Einbruch in einen landwirtschaftlichen Betrieb in der Hauptstraße fest und verständigte die Polizei. Unbekannte waren gewaltsam in die Räumlichkeiten eingedrungen und hatten Inventar entwendet.
Es entstand ein Gesamtschaden von ungefähr 1.000 Euro. Die Polizei ermittelt.",https://polizei.brandenburg.de/pressemeldung/in-landwirtschaftlichen-betrieb-eingebro/5485860,False,,[],[],[]
Einbruch misslungen,10.03.2025,"Massen, Elbe-Elster","Montagnacht löste die Alarmanlage eines Discounters in der „Straße zum Kohlehandel“ aus. Wie sich herausstellte, hatten unbekannte Tatverdächtige versucht, gewaltsam in die Räumlichkeiten einzudringen.
Offenbar war der Einbruch misslungen, sodass sie ohne Diebesgut flüchteten und dennoch einen vierstelligen Sachschaden hinterließen. Die Polizei sicherte Spuren und leitete ein entsprechendes Ermittlungsverfahren ein.",https://polizei.brandenburg.de/pressemeldung/einbruch-misslungen/5485859,False,,[],[],[]
Einbruch in Tierzuchtverein,10.03.2025,"Tettau, Oberspreewald-Lausitz","Ein Spaziergänger stellte Montagmorgen einen Einbruch in den örtlichen Tierzuchtverein an der Straße „Spartenheimweg“ fest und rief die Polizei. Unbekannte waren gewaltsam in das Objekt eingedrungen und entwendeten nach ersten Ermittlungen mehrere Geldkassetten, welche jedoch allesamt leer waren.
Die Polizei sicherte Spuren vor Ort und leitete die Ermittlungen ein.",https://polizei.brandenburg.de/pressemeldung/einbruch-in-tierzuchtverein/5485853,False,,[],[],[]
Alkoholverdacht am Steuer,10.03.2025,"Schwarzheide, Oberspreewald-Lausitz","Der Fahrer eines PKW RENAULT wurde in der Nacht zu Montag einer Verkehrskontrolle in der Schipkauer Straße unterzogen. Nachdem beim 42-Jährigen Alkoholgeruch wahrgenommen wurde, führten die Beamten einen entsprechenden Atemtest durch.
Das Ergebnis war mit 0,7 Promille im Bereich der Ordnungswidrigkeiten. Untersagung der Weiterfahrt und Fertigung einer Anzeige waren die Folge.",https://polizei.brandenburg.de/pressemeldung/alkoholverdacht-am-steuer/5485832,False,,[],[],[]
Fahren ohne Fahrerlaubnis,10.03.2025,"Schwarzheide, Oberspreewald-Lausitz","Beamte kontrollierten Sonntagnachmittag ein Kleinkraftrad in der Lauchhammerstraße. Der 19-jährige Fahrer gab an, dass er nicht im Besitz einer gültigen Fahrerlaubnis für das Moped ist.
Demnach fertigten die Beamten eine Anzeige und untersagten ihm die Weiterfahrt.",https://polizei.brandenburg.de/pressemeldung/fahren-ohne-fahrerlaubnis/5485826,False,,[],[],[]
Windkraftanlage aufgebrochen,10.03.2025,"Gallun, Dahme-Spreewald","Einbrecher trieben in der Storkower Straße ihr Unwesen, wie der Polizei am Montagmorgen angezeigt wurde. Die Tür einer Windenergieanlage war aufgebrochen worden.
Inwieweit etwas gestohlen wurde, ist nun durch die Kriminalpolizei zu ermitteln, allein die verursachten Sachschäden liegen bei mehreren hundert Euro.",https://polizei.brandenburg.de/pressemeldung/windkraftanlage-aufgebrochen/5485772,False,,[],[],[]
