Date,ExtractedAction,ExtractedAge,ExtractedDate,ExtractedGender,ExtractedTime,KeywordExtracted,KeywordMatch,Location,RightWingRelated,SourceFile,Text,Title,Topic,URL,standardized_location,latitude,longitude,ollama_extraction
18.12.2025,"['schlagen', 'körperverletzung']",[],18.12.2025,['mann'],[],['fremdenfeindlich'],['fremdenfeindlich'],"Cottbus, Cottbus",True,police_rss.csv,"Im Zusammenhang mit einer Körperverletzung bittet die Polizei um Hinweise. Die abgebildete Person hatte unvermittelt einen anderen Mann fremdenfeindlich beleidigt und geschlagen. Der Vorfall ereignete sich im Cottbuser Stadtteil Ströbitz. Im Umfeld der Tat konnten Fotos des Mannes gefertigt werden. Bisherige Ermittlungen führten noch nicht zur Identifizierung der Person. Auf gerichtliche Anordnung wendet sich die Polizei nun mit den Bildern an die Öffentlichkeit und fragt:
Wer kennt die abgebildete Person?
Wer kann Angaben zur Identität beziehungsweise Aufenthaltsort der Person machen?
Mit Ihren sachdienlichen Hinweisen wenden Sie sich bitte an die Polizeiinspektion Cottbus/Spree-Neiße in Cottbus unter der Telefonnummer 0355-4937-1227 oder an jede andere Polizeidienststelle. Nutzen Sie auch die Möglichkeit, im Internet einen Hinweis zu geben unter
https://portal.onlinewache.polizei.de/de/",Polizei bittet um Mithilfe (Cottbus),,https://polizei.brandenburg.de/fahndung/polizei-bittet-um-mithilfe/5694308,"Ströbitz, Cottbus, Cottbus",51.7583992,14.2999603,"Ströbitz, Cottbus, Cottbus"
18.07.2019,[],['34'],18.07.2019,[],['22.00'],['volksverhetzung'],['volksverhetzung'],"Neuruppin, Ostprignitz-Ruppin",True,brandenburg_police_results.csv,"Zeugen hörten gestern Abend um 22.00 Uhr am Bollwerk rechtsgerichtete Musik und informierten daraufhin die Polizei. Beamte der Inspektion Neuruppin trafen anschließend eine 34-jährige Deutsche und acht Männer (vier Deutsche und vier Afghanen) im Alter von 21 bis 46 Jahren an und befragten diese zum Sachverhalt. Es stellte sich heraus, dass die Musik von einer Musikbox abgespielt wurde. Nachdem die Personalien von allen erhoben wurden, wurde allen Beteiligten ein Platzverweis erteilt, welchem sie nachkamen. Die kriminalpolizeilichen Ermittlungen wegen Volksverhetzung dauern an.",Rechte Musik abgespielt,RightWing,https://polizei.brandenburg.de/pressemeldung/-rechte-musik-abgespielt/1550526,"Bollwerk, Neuruppin, Ostprignitz-Ruppin",52.9136263,12.809695,"Bollwerk, Neuruppin, Ostprignitz-Ruppin"
11.10.2019,[],[],11.10.2019,[],[],['hakenkreuze'],['hakenkreuz'],"Strausberg, Märkisch-Oderland",True,brandenburg_police_results.csv,Unbekannte Täter sprühten an die Wände eines ungenutzten Gebäudes im Mühlenweg 12 Hakenkreuze. Sie waren in unterschiedlicher Farbe und Größe aufgebracht. Der Schaden beträgt ca. 3.000 Euro.,12 Hakenkreuze gesprüht,RightWing,https://polizei.brandenburg.de/pressemeldung/12-hakenkreuze-gesprueht/1667095,"Mühlenweg 12, Strausberg, Märkisch-Oderland",52.5784307,13.8907984,"Mühlenweg 12, Strausberg, Märkisch-Oderland"
14.10.2020,"['schlagen', 'beleidigung', 'körperverletzung']","['14', '14', '14', '14']",14.10.2020,[],['16.55'],"['fremdenfeindlichen', 'volksverhetzung']","['volksverhetzung', 'fremdenfeindlich']","Oranienburg, Oberhavel",True,brandenburg_police_results.csv,"Gestern Abend gegen 16.55 Uhr kam es in der Erich-Mühsam-Straße nach einem Streit zu einem körperlichen Übergriff, wobei zwei 14-jährige Oranienburgerinnen durch zwei Oranienburgerinnen im Alter von 14 und 15 Jahren geschubst und geschlagen wurden. Eine 14-Jährige erlitt leichte Verletzung, weil sie von ihrem Fahrrad gestoßen worden war. Anschließend wurde sie durch die Rettung in ein Krankenhaus gebracht. Die andere 14-Jährige wurde geschlagen. Es erfolgten auch Beleidigungen und Beschimpfungen mit fremdenfeindlichen Hintergründen. Die Erziehungsberechtigten der Jugendlichen wurden durch die Polizei informiert. Die Kriminalpolizei ermittelt wegen Volksverhetzung und Körperverletzung.",14-Jährige verletzt,RightWing,https://polizei.brandenburg.de/pressemeldung/14-jaehrige-verletzt/2219182,"Erich-Mühsam-Straße, Oranienburg, Oberhavel",52.7492932,13.2386407,"Erich-Mühsam-Straße, Oranienburg, Oberhavel"
18.08.2022,['beleidigung'],"['39', '39']",18.08.2022,"['mann', 'mann', 'mann']",['13.20'],"['rassistische', 'volksverhetzung']","['volksverhetzung', 'rassistisch']","Oranienburg, Oberhavel",True,brandenburg_police_results.csv,"Gestern Nachmittag gegen 13.20 Uhr wurde die Polizei in die Bernauer Straße gerufen, da hier ein 39-jähriger deutscher Mann nur mit Unterhose und Schuhen bekleidet durch eine Einkaufspassage lief und dabei rechte Parolen skandierte. Den Polizeibeamten gegenüber war der Mann aggressiv und bedrohte diese. Er äußerte rassistische, volksverhetzende und beleidigende Aussagen gegenüber einer herbeigerufenen Notärztin. Zudem nahm er im Rettungswagen sexuelle Handlungen an sich vor, welche die Polizeibeamten umgehend unterbanden. Der Mann wurde in eine Klinik eingewiesen. Die Beamten nahmen Anzeigen u.a. wegen Beleidigung und Volksverhetzung auf.",39-Jähriger im Ausnahmezustand,RightWing,https://polizei.brandenburg.de/pressemeldung/39-jaehriger-im-ausnahmezustand-/3399517,"Bernauer Straße, Oranienburg, Oberhavel",52.7538862,13.2373445,"Bernauer Straße, Oranienburg, Oberhavel"
04.11.2021,[],"['49', '49']",04.11.2021,[],[],['hitlergruß'],['hitlergruß'],"Cottbus, Cottbus",True,brandenburg_police_results.csv,"Ein 49-Jähriger, der Polizei bereits Bekannter, pöbelte am Mittwochnachmittag betrunken in der Freiheitsstraße und dem Brandenburger Platz Passanten voll und zeigte den Hitlergruß.
Er wurde über Nacht in Polizeigewahrsam genommen, um weitere Straftaten zu verhindern.",49-Jährigen in Polizeigewahrsam genommen,RightWing,https://polizei.brandenburg.de/pressemeldung/49-jaehrigen-in-polizeigewahrsam-genomme/2876722,"Freiheitsstraße, Cottbus, Cottbus",51.7587205,14.3361925,"Freiheitsstraße, Cottbus, Cottbus"
09.01.2023,['diebstahl'],[],09.01.2023,[],[],['volksverhetzung'],['volksverhetzung'],"Cottbus, Cottbus",True,brandenburg_police_results.csv,"Einer afghanischen Familie wurde am Sonntagabend aus einem Hausflur in der Bertolt-Brecht-Straße der Kinderwagen gestohlen und in der Nähe des Abstellortes Zettel mit ausländerfeindlichem und beleidigendem Inhalt hinterlassen.
Der kriminalpolizeiliche Staatsschutz hat die Ermittlungen nicht ausschließlich wegen des Diebstahls, sondern darüber hinaus wegen Volksverhetzung aufgenommen.",Afghanische Familie beleidigt,RightWing,https://polizei.brandenburg.de/pressemeldung/afghanische-familie-beleidigt/3668148,"Bertolt-Brecht-Straße, Cottbus, Cottbus",51.7279487,14.3284066,"Bertolt-Brecht-Straße, Cottbus, Cottbus"
02.07.2021,[],['35'],02.07.2021,"['mann', 'mann']",[],['verfassungswidriger'],['verfassungswidrig'],"Neuruppin, Ostprignitz-Ruppin",True,brandenburg_police_results.csv,"Ein 35-jähriger Neuruppiner erschien gestern ohne Termin in der Stadtverwaltung in der Karl-Liebknecht-Straße. Der Mann war alkoholisiert (2,96 Promille) und skandierte den Hitler-Gruß, sodass die Polizei gerufen wurde. Die Beamten nahmen Strafanzeigen auf und sprachen dem Mann einen Platzverweis aus. Da er dem nicht nachkam und sich sperrte, nahmen ihn die Beamten zur Durchsetzung des Platzverweises in Handfesseln in Gewahrsam. Die Kriminalpolizei ermittelt u.a. wegen Verwendens von Kennzeichen verfassungswidriger Organisationen.",Alkoholisiert im Amt,RightWing,https://polizei.brandenburg.de/pressemeldung/alkoholisiert-im-amt/2652349,"Karl-Liebknecht-Straße, Neuruppin, Ostprignitz-Ruppin",52.9205689,12.8020714,"Karl-Liebknecht-Straße, Neuruppin, Ostprignitz-Ruppin"
19.07.2021,['beleidigung'],['17'],19.07.2021,['jugendlicher'],['00:35'],['verfassungswidriger'],['verfassungswidrig'],"Havelsee, Kützkow, Potsdam-Mittelmark",True,brandenburg_police_results.csv,"Sonntag, 18. Juli 2021, 00:35 Uhr
Zeugen meldeten in der Nacht zum Sonntag eine Ruhestörung in Kützkow. Als die Beamten vor Ort eintrafen und mit der Verursacherin sprachen, störte ein 17-Jähriger immer wieder die Unterhaltung. Er nutzte die Anwesenheit der Beamten aus, um diese massivst verbal und offenbar mit allem was sein Repertoire herzugeben schien, zu beleidigen. Dazu schlug er mehrfach mit der flachen Hand gegen den Streifenwagen; zu einer Beschädigung kam es hierdurch nicht.
Um weitere Taten zu unterbinden musste der mit über 1,5 Promille stark alkoholisierte Minderjährige kurzzeitig mittels Handfesseln fixiert werden. Nach Klärung seiner Identität wurde er dann von den Beamten zur Übergabe an seine Erziehungsberechtigen zu seiner Wohnanschrift gefahren. Auf dem Weg dorthin wiederholte er die massiven Beleidigungen in unzähliger Anzahl, schimpfte über den Staat rief lautstark eine Naziparole. Wenig später wurde er dann von seiner Mutter in Obhut genommen und aus den polizeilichen Maßnahmen entlassen. Gegen ihn ermittelt nun die Kriminalpolizei wegen Beleidigung und dem Verwenden von Kennzeichen verfassungswidriger Organisationen.",Alkoholisierter Jugendlicher beleidigt Polizeibeamte und ruft Naziparole,RightWing,https://polizei.brandenburg.de/pressemeldung/alkoholisierter-jugendlicher-beleidigt-p/2678604,"Kützkow, Potsdam-Mittelmark, Havelsee",52.4913234,12.4487623,"Kützkow, Potsdam-Mittelmark, Havelsee"
15.01.2020,"['treten', 'diebstahl']","['60', '60']",15.01.2020,"['mann', 'mann', 'mann', 'mann']",['21.20'],['volksverhetzung'],['volksverhetzung'],"Eberswalde, Barnim",True,brandenburg_police_results.csv,"Bei gleich mehreren Einsätzen forderte ein der Polizei bereits hinlänglich bekannter 60-Jähriger die Geduld der Eberswalder Beamten heraus.
So war der Mann im Laufe des 14.01.2020 erst mit einem Diebstahl in Erscheinung getreten, um dann später an der Haltestelle „Am Markt“ ausländerfeindliche Parolen herumzubrüllen. Polizisten griffen sich den Mann und
er erhielt eine Anzeige wegen Volksverhetzung und Diebstahls. Der zu diesem Zeitpunkt mit 2,32 Promille alkoholisierte Mann kam dem außerdem erteilten Platzverweis dann auch ohne Zögern nach.
Gegen 21.20 Uhr machte der 60-Jährige erneut Ärger. Er randalierte in einer Wohnung in der Schulstraße in Finow. Folglich entschieden sich die Polizisten den Mann in Gewahrsam zu nehmen. Während des Einsatzes beleidigte er die handelnden Beamten wüst, was ihm eine weitere Anzeige einbrachte. Der Tag endete für ihn im Zellentrakt der Polizei.",Allerhand Ärger gemacht,RightWing,https://polizei.brandenburg.de/pressemeldung/allerhand-aerger-gemacht/1789965,"Schulstraße, Eberswalde, Barnim",52.8360824,13.7343062,"Schulstraße, Eberswalde, Barnim"
