Title,Date,Location,Text,URL
Junge von Unbekannten angegriffen,20.06.2025,Marzahn-Hellersdorf,"Nr. 1694
Gestern Nachmittag wurde ein Kind von vier Unbekannten in Hellersdorf angegriffen. Gegen 15:40 Uhr soll der 12-Jährige mit einer Straßenbahn in der Zossener Straße unterwegs gewesen sein. Gemäß den Angaben der Internetanzeige seiner Eltern, die später am Abend bei der Polizei Berlin einging, wurde er von vier männlichen Personen angesprochen und zum Vorzeigen seines Handys aufgefordert. Dem Vernehmen nach beschimpften die Unbekannten den Jungen aufgrund seines Hintergrundbildes, das eine Deutschlandfahne zeige. Beim Verlassen der Straßenbahn an der Haltestelle Zossener Straße Ecke Alte Hellersdorfer Straße soll ein Mitglied der Gruppe dem 12-Jährigen Faustschläge in das Gesicht und gegen den Magen verpasst haben. Nachdem der Angegriffene mitgeführte Messer bei dem Quartett gesehen habe, sei er weggerannt. Durch den Angriff erlitt der 12-Jährige Bauchschmerzen. Als Einsatzkräfte seine Wohnanschrift zur weiteren Sachverhaltsklärung aufsuchten, lehnte er im Beisein
    seiner Mutter eine ärztliche Behandlung ab. Der Polizeiliche Staatsschutz übernahm die weiteren Ermittlungen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1572159.php
Verkehrsunfall mit Polizeibeteiligung,20.06.2025,Neukölln,"Nr. 1693
Gestern Vormittag ereignete sich in Neukölln ein Verkehrsunfall mit Polizeibeteiligung. Nach derzeitigem Kenntnisstand befuhr ein Einsatzfahrzeug der Polizei mit Sonder- und Wegerechten gegen 10:40 Uhr die Sonnenallee in Richtung Grenzallee. An der Einmündung zur Mareschstraße kam es zum Zusammenstoß mit einem Fahrzeug eines 36-Jährigen, der von der Mareschstraße nach links in die Sonnenallee abbiegen wollte. Beide im Einsatzwagen befindlichen Dienstkräfte erlitten Verletzungen, die ambulant in Krankenhäusern versorgt wurden. Sie mussten anschließend ihren Dienst beenden. Ihr Einsatzfahrzeug war nicht mehr fahrfähig und musste abgeschleppt werden. Die 30-jährige Beifahrerin des 36-Jährigen, der unverletzt blieb, stand unter dem Eindruck des Geschehens und kam ebenfalls zu einer ambulanten Behandlung in eine Klinik. Wegen des Unfalls blieb die Sonnenallee zwischen Thiemannstraße und Braunschweiger Straße für den Fahrzeugverkehr komplett gesperrt. Die weiteren
    Ermittlungen hat ein Fachkommissariat für Verkehrsdelikte der Polizeidirektion 4 (Süd) übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1572143.php
Mann mit Stichverletzungen im Krankenhaus,20.06.2025,Pankow,"Nr. 1692
Am späten Nachmittag erlitt ein Mann in Pankow im Zuge einer Auseinandersetzung mehrere Stichverletzungen. Nach bisherigem Kenntnisstand und Angaben von Zeuginnen und Zeugen soll ein 30-Jähriger zunächst gegen 17:50 Uhr auf dem Vorplatz des U- und S-Bahnhofs Pankow einen 35-Jährigen mit der Faust in das Gesicht geschlagen haben. Anschließend soll es zu einer Schubserei gekommen sein und der Ältere soll dem Jüngeren dann Stichverletzungen am Rumpf zugefügt haben. Der 30-Jährige kam daraufhin in ein Krankenhaus, wo eine Operation erfolgen musste. Er verbleibt stationär. Lebensgefahr soll nicht bestehen. Der 35-Jährige wurde festgenommen und kam zu einer Blutentnahme und erkennungsdienstlichen Behandlung in ein Polizeigewahrsam. Von dort wurde er anschließend wieder entlassen. Die weiteren Ermittlungen hat die Kriminalpolizei der Polizeidirektion 1 (Nord) übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1572107.php
Mutmaßliche Einbrecher festgenommen,20.06.2025,Spandau,"Nr. 1691
Vier Männer wurden gestern Vormittag nach einem Wohnungseinbruch in einem Mehrfamilienhaus in Siemensstadt festgenommen. Eine aufmerksame Zeugin hatte gegen 11:10 Uhr beobachtet, wie sich die vier Männer im Alter von 26, 28, 49 und 51 Jahren auffällig durch den Hausflur des Hauses am Rohrdamm bewegten. Kurz darauf hörte die Frau verdächtige Geräusche aus einer Wohnung und rief daraufhin die Polizei. Einsatzkräfte der Polizeiabschnitte 21 und 22 nahmen das Quartett vorläufig fest und stellten bei den Männern mutmaßliches Tatwerkzeug und mutmaßliche Beute sicher. An einer Wohnungstür im Haus fanden die Einsatzkräfte Einbruchsspuren, zudem war die Wohnung offenkundig durchwühlt worden. Später traf der Bewohner ein und erkannte einen Teil der bei den Tatverdächtigen gefundene Beute zweifelsfrei als sein Eigentum wieder. Die mutmaßlichen Einbrecher wurden in ein Polizeigewahrsam gebracht, wo sie sich erkennungsdienstlichen Behandlungen unterziehen mussten. Sie sollen
    heute einem Ermittlungsrichter vorgeführt werden, der den Erlass von Haftbefehlen prüfen wird. Die weiteren Ermittlungen führt ein Fachkommissariat der Polizeidirektion 2 (West).",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1572058.php
Scharfe Pistole und andere Waffen sichergestellt,19.06.2025,Tempelhof-Schöneberg,"Nr. 1690
Einsatzkräfte stellten gestern Nachmittag in Schöneberg im Rahmen einer Verkehrskontrolle mehrere Waffen fest und sicher. Gegen 14:45 Uhr hielten Einsatzkräfte einen Kraftfahrer eines Pkw auf der Potsdamer Straße an und überprüften diesen verkehrsrechtlich. Der 29-Jährige händigte den Beamten einen ausländischen Führerschein, einen ebensolchen Identitätsnachweis sowie einen internationalen Führerschein zur Überprüfung aus. Die Polizisten stellten im Rahmen der Überprüfung Anhaltspunkte dafür fest, dass die Dokumente gefälscht sein könnten. Im Rahmen der weiteren polizeilichen Maßnahmen durchsuchten die Beamten den 29-Jährigen und fanden bei ihm eine scharfe Pistole mit dazugehöriger Munition. Im Fahrzeug fanden sie darüber hinaus ein Messer und eine Pfefferspraypistole mit Ersatzkartuschen. Die Einsatzkräfte nahmen den 29-Jährigen fest und brachten ihn in ein Polizeigewahrsam, von wo aus er einem Fachkommissariat des Landeskriminalamtes überstellt wurde.
    Die Ermittlungen wegen des Verdachts der Urkundenfälschung und des Verstoßes gegen das Waffengesetz dauern an.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1571832.php
Fahrradfahrer verhindert Kollision mit Transporter,19.06.2025,Treptow-Köpenick,"Nr. 1689
Gestern Nachmittag kam es in Oberschöneweide zu einem Verkehrsunfall. Gegen 16:30 Uhr fuhr ein 46-jähriger Fahrer eines Transporters mit diesem Fahrzeug die Rummelsburger Landstraße vom Blockdammweg kommend in Richtung Minna-Todenhagen-Straße entlang. Beim Rechtsabbiegen auf die Minna-Todenhagen-Straße soll er einen in gleiche Richtung fahrenden Fahrradfahrer übersehen haben. Der 67-jährige Radfahrer soll eine Notbremsung durchgeführt haben und stürzte daraufhin mit seinem Fahrrad zu Boden. Durch den Sturz erlitt er Verletzungen an seinen Händen. Der 46-Jährige leistete dem 67-Jährigen bis zum Eintreffen der alarmierten Rettungskräfte Erste Hilfe. Die Rettungskräfte brachten ihn zur stationären Behandlung in ein Krankenhaus. Die weiteren Ermittlungen führt ein Fachkommissariat der Polizeidirektion 3 (Ost).",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1571819.php
Pyrotechnik gezündet und Polizeikräfte angegriffen,19.06.2025,Lichtenberg,"Nr. 1688
Gestern Nachmittag wurden Einsatzkräfte wegen einer fahrlässigen Körperverletzung nach Rummelsburg alarmiert. Nach ersten Erkenntnissen verständigten Zeugen die Polizei, nachdem ein 35-jähriger Mann gegen 16:40 Uhr mehrere pyrotechnische Gegenstände am Rosenfelder Ring Ecke Löwenberger Straße gezündet haben soll. Dabei habe ein explosiver Gegenstand direkt neben einem geparkten Auto umgesetzt, ein Passant erlitt ein Knalltrauma durch die Explosion. Als die Einsatzkräfte eintrafen, versuchte der Mann zunächst zu flüchten, konnte jedoch in der Skandinavischen Straße gestellt werden. Der 35-Jährige schlug bei der Festnahme um sich und traf einen Polizeibeamten, der dabei eine Verletzung an der Schulter erlitt. Die Dienstkraft wurde zur ambulanten Behandlung in ein Krankenhaus gebracht und trat anschließend vom Dienst ab. Der Tatverdächtige wurde in die psychiatrische Abteilung eines Krankenhauses gebracht, einer Aufnahme wurde dort jedoch nicht zugestimmt. Die
    Einsatzkräfte führten in der Folge eine erkennungsdienstliche Behandlung mit dem Mann durch. Anschließend wurde er entlassen. Die weiteren Ermittlungen wegen fahrlässiger Körperverletzung, Sachbeschädigung an Kraftfahrzeugen, Verstoß gegen das Sprengstoffgesetz und Widerstand gegen Vollstreckungsbeamte werden von einem Fachkommissariat der Polizeidirektion 3 (Ost) geführt.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1571753.php
Randaliert und beleidigt - Festnahme,19.06.2025,Mitte,"Nr. 1687
Ein Mann randalierte und beleidigte Zeugen und Polizeibeamte gestern Vormittag in Mitte. Nach bisherigen Erkenntnissen war der 48–Jährige gegen 9 Uhr auf dem Legiendamm unterwegs und sprach dort zunächst mehrere Passanten an. Kurz darauf soll er durch öffentliche Blumenbeete gelaufen und mehrere Pflanzen ausgerissen haben. Ein Mitarbeiter des Grünflächenamtes bemerkte dies und forderte den Tatverdächtigen auf, das Herausreißen zu unterlassen. Der 48-Jährige soll den Mitarbeiter beleidigt haben und weitergelaufen sein, wobei er in das Wasser des Engelbeckens fiel. Nachdem er wieder herausgestiegen war, ging er auf den Mitarbeiter zu und soll diesen mit einer Glasflasche in der Hand bedroht haben. Anschließend soll er dem Zeugen noch ins Gesicht gespuckt haben. Alarmierte Rettungskräfte nahmen den Mann fest und führten eine Atemalkoholmessung durch. Diese erbrachte einen Wert von rund 2,6 Promille. Der 48-Jährige verhielt sich während der Sachverhaltsklärung
    weiterhin aggressiv und beleidigte dann auch die eingesetzten Beamten, die ihn in ein Polizeigewahrsam brachten. Dort stellten die Einsatzkräfte fest, dass der Mann aufgrund eines Haftbefehles zur Fahndung ausgeschrieben ist und verhafteten ihn. Im Gewahrsam trat der 48-Jährige gegen eine der Türen, die dadurch aufschwang und einen Mitarbeiter im Vollzugsdienst an einer Hand verletzte. Der Tatverdächtige wurde der Justiz zum Antritt der Haftstrafe überstellt. Die Ermittlungen wegen des Verdachts der Sachbeschädigung, der Beleidigung sowie der Bedrohung dauern an.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1571751.php
Mann verletzt,19.06.2025,Spandau,"Nr. 1686
In der vergangenen Nacht wurde die Polizei wegen einer körperlichen Auseinandersetzung nach Wilhelmstadt alarmiert. Ein Zeuge berichtete, dass es in einem Park am Ziegelhof gegen 1:20 Uhr zu einem Streit zwischen mehreren Personen gekommen sei, in dessen Rahmen auch ein Schuss gefallen sein soll. Keine der beteiligten Personen war bei Eintreffen der Einsatzkräfte noch am Ort. Die Einsatzkräfte sicherten Spuren und stellten Platzpatronen sicher, die nach jetzigem Erkenntnisstand aus einer PTB-Waffe stammen. Etwas später erschien ein stark alkoholisierter und blutverschmierter 26-Jähriger in einer Bar in der Seeburger Straße, der angab, von mehreren Personen verletzt worden zu sein. Laut Zeugenaussagen soll der Mann aus Richtung des Parks gekommen sein, in dem die Auseinandersetzung stattgefunden haben soll. Im Verlauf der weiteren Ermittlungen wurde bekannt, dass der 26-Jährige zuvor in einer Bar in der Wilhelmstraße gewesen war und verdächtigt wird, dort ein Mobiltelefon
    gestohlen zu haben. Alarmierte Rettungskräfte brachten den 26-Jährigen zur ambulanten Behandlung seiner Verletzungen im Kopf- und Nackenbereich in ein Krankenhaus. Inwiefern die Verletzungen des 26-Jährigen mit der Auseinandersetzung im Park zusammenhängen und ob er für den angezeigten Diebstahl verantwortlich ist, ermittelt nun die Kriminalpolizei der Polizeidirektion 2 (West).",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1571619.php
E-Scooter-Fahrer fährt Radfahrer an und flüchtet,19.06.2025,Tempelhof-Schöneberg,"Nr. 1685
Gestern Nachmittag kam es zu einem Verkehrsunfall in Schöneberg. Nach ersten Erkenntnissen befuhr ein 55-jähriger Radfahrer mit seinem E-Bike gegen 15 Uhr den Sachsendamm. Auf gleicher Höhe mit ihm sei ein unbekannter E-Scooter-Fahrer gefahren, welcher unvermittelt an der Einfahrt zum dortigen Parkplatz eines Möbelhauses nach rechts abgebogen und gegen den Radfahrer gefahren sei. Durch den Zusammenstoß kamen beide Männer zu Fall. Der E-Scooter-Fahrer flüchtete in der Folge vom Unfallort. Der Radfahrer erlitt eine Hüftfraktur sowie Hautabschürfungen an den Beinen und Armen und wurde zur stationären Behandlung in ein Krankenhaus gebracht. Die weiteren Ermittlungen hat ein Fachkommissariat für Verkehrsdelikte der Polizeidirektion 4 (Süd) übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1571576.php
