Title,Date,Location,Text,URL,SourceFile,RightWingRelated,KeywordMatch,ExtractedDate,ExtractedTime,ExtractedAge,ExtractedGender,ExtractedAction,KeywordExtracted
Rechte Musik abgespielt,18.07.2019,"Neuruppin, Ostprignitz-Ruppin","Zeugen hörten gestern Abend um 22.00 Uhr am Bollwerk rechtsgerichtete Musik und informierten daraufhin die Polizei. Beamte der Inspektion Neuruppin trafen anschließend eine 34-jährige Deutsche und acht Männer (vier Deutsche und vier Afghanen) im Alter von 21 bis 46 Jahren an und befragten diese zum Sachverhalt. Es stellte sich heraus, dass die Musik von einer Musikbox abgespielt wurde. Nachdem die Personalien von allen erhoben wurden, wurde allen Beteiligten ein Platzverweis erteilt, welchem sie nachkamen. Die kriminalpolizeilichen Ermittlungen wegen Volksverhetzung dauern an.",https://polizei.brandenburg.de/pressemeldung/-rechte-musik-abgespielt/1550526,brandenburg_police_results.csv,True,['volksverhetz'],18.07.2019,['22.00'],['34'],[],[],['volksverhetzung']
Rechte Schmierereien,26.07.2019,"Lenzen, Prignitz",Unbekannte Täter brachten auf dem Elbanleger der Fähre zwischen Lenzen und Höhbeck auf dem Betonboden mit schwarzer Farbe mehrere rechtsgerichtete Schriftzüge sowie ein Hakenkreuz in einer Größe von ca. 15 bis 20 Zentimeter auf. Eine Schadenshöhe war zum Zeitpunkt der Anzeigenaufnahme nicht bekannt. Die zuständige Gemeinde wurde über den Sachverhalt informiert.,https://polizei.brandenburg.de/pressemeldung/-rechte-schmierereien/1561133,brandenburg_police_results.csv,True,['hakenkreuz'],26.07.2019,[],[],[],[],['hakenkreuz']
"""Sieg Heil"" Ruf",19.07.2021,"Großräschen, Oberspreewald-Lausitz","Polizei und Ordnungsamt führten am Samstagabend eine Präventivstreife in der Stadt Großräschen durch. Um 21:00 Uhr wurde im Bereich des Waldfriedhofes eine mehrere Dutzend große Personengruppe festgestellt, welche eine Musikbox mitführte sowie alkoholische Getränke. Aus der Gruppe heraus vernahmen die Beamten einen „Sieg Heil“ ruf. Daraufhin wurden die Identitäten festgestellt und Platzverweise erteilt. Die Ermittlungen zu der Straftat dauern an. Etwa eine Stunde später wurden einige der Gruppe im Bereich der Skaterbahn abermals festgestellt. Einen Platzverweis befolgte ein 28-Jähriger nur zögerlich. Erst nach Androhung der Gewahrsamnahme verließ er unter Beschimpfungen und Beleidigungen das Gelände.",https://polizei.brandenburg.de/pressemeldung/-sieg-heil-ruf/2677970,brandenburg_police_results.csv,True,['sieg heil'],19.07.2021,['21:00'],['28'],[],['beleidigung'],['sieg heil']
​Tatverdächtiger nach sexueller Belästigung in Fachklinik,02.09.2021,"Hauptbahnhof, Brandenburg an der Havel","Zwei jugendliche Frauen meldeten sich am Mittwochnachmittag bei der Bundespolizei am Brandenburger Hauptbahnhof und gaben an, dass sie von einem angetrunkenen Mann belästigt wurden. Dieser sei ihnen aufdringlich hinterhergelaufen und versuchte sie anzusprechen. Bundespolizisten hielten den Mann fest, bis Beamte der Brandenburger Polizei vor Ort eintrafen. Während sie dann versuchten den Sachverhalt zu klären, meldete sich eine weitere Jugendliche, die angab am Vortag ebenfalls am Bahnhof von dem beschuldigten Mann an den Po gefasst worden zu sein. Sie konnte sich aber der Situation entziehen, in dem sie sofort in einen Linienbus stieg und davonfuhr. Der 35-Jährige wurde daraufhin durchsucht. Bei ihm haben die Beamten zwei Flaschen Whiskey aufgefunden, die er nach eigenen Angaben in einem nahgelegenen Discountmarkt entwendet haben will.
Ein Atemalkoholtest ergab schließlich einen Wert über drei Promille. Da er neben dem genannten Sachverhalt bereits wenige Tage zuvor im Stadtteil Nord Teenager belästigt haben soll, wurde für den Mann der sozialpsychiatrische Dienst der Stadt Brandenburg an der Havel hinzugezogen und verfügt, dass er in eine Fachklinik eingewiesen wird. Ein Rettungswagen brachte ihn daraufhin unter Begleitung der Polizei dorthin. Zusätzlich wurden weitere Ermittlungen bezügliches des Ladendiebstahls und der sexuellen Belästigung gegen den 35-Jährigen Brandenburger eingeleitet.",https://polizei.brandenburg.de/pressemeldung/-tatverdaechtiger-nach-sexueller-belaest/2764508,brandenburg_police_results.csv,True,['sexuell'],02.09.2021,[],"['35', '35']","['jugendliche', 'mann', 'mann', 'jugendliche', 'mann', 'mann']",[],"['sexueller', 'sexuellen']"
„wageMUT“: Aussteigerprogramm für Extremisten,10.01.2023,"Potsdam, Überregional","Das Innenministerium hat ein Ausstiegs- und Distanzierungsprogramm für ausstiegswillige Extremisten gestartet. Das Programm trägt den Namen „wageMUT“ und ergänzt die Präventionsarbeit des brandenburgischen Verfassungsschutzes. Damit wird ein weiteres zentrales Vorhaben des „Maßnahmenplans im Kampf gegen Rechtsextremismus und Hasskriminalität“ von Innenminister
Michael Stübgen
umgesetzt.
Stübgen: „Wer aus eigenem Antrieb ein extremes Umfeld verlassen möchte und dafür Begleitung und Hilfe anfragt, verdient diese Unterstützung aus meiner Sicht auch. Mit ,wageMUT´ soll Ausstiegswilligen geholfen werden, ein selbstständiges und selbstbestimmtes Leben ohne Gewalt und Extremismus zu führen. Die Erfahrungen anderer staatlicher Ausstiegsprogramme zeigen ihre Wirksamkeit. Diese Programme haben zahlreichen Menschen dabei geholfen, ihr Denken und Verhalten nachhaltig zu ändern. Mit ,wageMUT´ schließen wir eine wichtige Lücke in Brandenburg.“
Wichtiger Bestandteil des Programms ist die aktive Ansprache von Personen, die in extremistischen Milieus aktiv sind. Sie sollen so für einen Ausstieg motiviert werden. Ein besonderer Schwerpunkt wird dabei auf Heranwachsende und junge Erwachsene gelegt.
Der Leiter der Abteilung Verfassungsschutz,
Jörg Müller
: „Auf dem Weg in ein Leben ohne Extremismus sind Ausstiegswillige häufig mit persönlichen und sozialen Problemen konfrontiert. An diesen individuellen Bedürfnislagen setzen die Ausstiegsbegleiterinnen und -begleiter des Verfassungsschutzes an. Sie werden bedarfsgerechte individuelle Hilfsangebote zur Bewältigung des Alltags in Form von Hilfe zur Selbsthilfe anbieten. Ebenso sind Unterstützung, Beratung und Hilfe für das familiäre Umfeld oder für Schulen möglich. Sämtliche Daten werden selbstverständlich streng vertraulich behandelt.""
Für ausstiegswillige Extremisten steht eine Beratungshotline unter der Telefonnummer 0151 15935736 zur Verfügung. Weitere Informationen zum Programm finden sich auf der
Website
des Innenministeriums.",https://polizei.brandenburg.de/pressemeldung/-wagemut-aussteigerprogramm-fuer-extremi/3670729,brandenburg_police_results.csv,True,['rechtsextrem'],10.01.2023,[],[],['junge'],[],['rechtsextremismus']
12 Hakenkreuze gesprüht,11.10.2019,"Strausberg, Märkisch-Oderland",Unbekannte Täter sprühten an die Wände eines ungenutzten Gebäudes im Mühlenweg 12 Hakenkreuze. Sie waren in unterschiedlicher Farbe und Größe aufgebracht. Der Schaden beträgt ca. 3.000 Euro.,https://polizei.brandenburg.de/pressemeldung/12-hakenkreuze-gesprueht/1667095,brandenburg_police_results.csv,True,['hakenkreuz'],11.10.2019,[],[],[],[],['hakenkreuze']
14-Jährige verletzt,14.10.2020,"Oranienburg, Oberhavel","Gestern Abend gegen 16.55 Uhr kam es in der Erich-Mühsam-Straße nach einem Streit zu einem körperlichen Übergriff, wobei zwei 14-jährige Oranienburgerinnen durch zwei Oranienburgerinnen im Alter von 14 und 15 Jahren geschubst und geschlagen wurden. Eine 14-Jährige erlitt leichte Verletzung, weil sie von ihrem Fahrrad gestoßen worden war. Anschließend wurde sie durch die Rettung in ein Krankenhaus gebracht. Die andere 14-Jährige wurde geschlagen. Es erfolgten auch Beleidigungen und Beschimpfungen mit fremdenfeindlichen Hintergründen. Die Erziehungsberechtigten der Jugendlichen wurden durch die Polizei informiert. Die Kriminalpolizei ermittelt wegen Volksverhetzung und Körperverletzung.",https://polizei.brandenburg.de/pressemeldung/14-jaehrige-verletzt/2219182,brandenburg_police_results.csv,True,"['volksverhetz', 'fremdenfeind']",14.10.2020,['16.55'],"['14', '14', '14', '14']",[],"['schlagen', 'beleidigung', 'körperverletzung']","['fremdenfeindlichen', 'volksverhetzung']"
15-jähriges Mädchen angegangen,08.07.2020,"Velten, Oberhavel","Nahe der Skateranlage kam es gestern gegen 18:45 Uhr zu einer gewalttätigen Auseinandersetzung, bei der zwei Deutsche im Alter von 13 und 17 Jahren eine 15-Jährige schubsten, festhielten und traten. Während der Auseinandersetzung soll der ältere der beiden dabei die bekleidete Brust der Jugendlichen berührt haben, die in Folge des Angriffs leichtverletzt in einem Krankenhaus ambulant versorgt werden musste. Der Angriff endete, als die Mutter der Jugendlichen beherzt eingriff und die beiden Angreifer ohrfeigte. Die Kriminalpolizei ermittelt wegen gefährlicher Körperverletzung und sexueller Nötigung.",https://polizei.brandenburg.de/pressemeldung/15-jaehriges-maedchen-angegangen/2055870,brandenburg_police_results.csv,True,['sexuell'],08.07.2020,['18:45'],['15'],['mädchen'],"['angriff', 'schubsen', 'körperverletzung']",['sexueller']
29 Notizzettel eingesammelt,05.07.2019,"Templin, Uckermark","Ein Mitarbeiter eines Hotels sammelte am Donnerstagabend 29 Notizzettel ein, die von Unbekannten am Lübbesee auf Sonnenliegen geklebt wurden. Darauf befanden sich schwarze Hakenkreuze. Die Polizei stellte die Zettel sicher. Der Staatsschutz hat die Ermittlungen zum Verwenden von Kennzeichen verfassungswidriger Organisationen aufgenommen.",https://polizei.brandenburg.de/pressemeldung/29-notizzettel-eingesammelt/1534772,brandenburg_police_results.csv,True,"['hakenkreuz', 'verfassungswidrig']",05.07.2019,[],[],[],[],"['hakenkreuze', 'verfassungswidriger']"
39-Jähriger im Ausnahmezustand,18.08.2022,"Oranienburg, Oberhavel","Gestern Nachmittag gegen 13.20 Uhr wurde die Polizei in die Bernauer Straße gerufen, da hier ein 39-jähriger deutscher Mann nur mit Unterhose und Schuhen bekleidet durch eine Einkaufspassage lief und dabei rechte Parolen skandierte. Den Polizeibeamten gegenüber war der Mann aggressiv und bedrohte diese. Er äußerte rassistische, volksverhetzende und beleidigende Aussagen gegenüber einer herbeigerufenen Notärztin. Zudem nahm er im Rettungswagen sexuelle Handlungen an sich vor, welche die Polizeibeamten umgehend unterbanden. Der Mann wurde in eine Klinik eingewiesen. Die Beamten nahmen Anzeigen u.a. wegen Beleidigung und Volksverhetzung auf.",https://polizei.brandenburg.de/pressemeldung/39-jaehriger-im-ausnahmezustand-/3399517,brandenburg_police_results.csv,True,"['rassis', 'volksverhetz', 'sexuell']",18.08.2022,['13.20'],"['39', '39']","['mann', 'mann', 'mann']",['beleidigung'],"['sexuelle', 'volksverhetzende', 'volksverhetzung', 'rassistische']"
