Title,Date,Location,Text,URL,Tag
Keller aufgebrochen,10.03.2025,"Eisenhüttenstadt, Oder-Spree","Im Verlauf des 09.03.2025 wandten sich gleich zwei Eisenhüttenstädter an die Polizei, um anzuzeigen, dass Diebe sich in ihren Kellerverschlägen zu schaffen gemacht hatten.
So geschehen in der Diehloer Straße, wo den Tätern ein Herrenfahrrad in die Hände fiel. In der Saarlouiser Straße war es ein Musikinstrument, in diesem speziellen Fall ein Bariton, welches noch Unbekannte mit sich nahmen. Beide Male wird der materielle Schaden auf rund 1.000 Euro geschätzt.",https://polizei.brandenburg.de/pressemeldung/keller-aufgebrochen/5486361,None
Jugendlicher fiel unangenehm auf,10.03.2025,"Beeskow, Oder-Spree","Am Abend des 07.03.2025 fiel am Rande eines Volleyballturniers auf dem Sportplatz am Bertholdplatz ein junger Mann auf, als er nach einem Jugendlichen trat und Geld stahl, dass er auf einem Tisch entdeckt hatte. Zwar gab der 15-jährige Deutsche das Diebesgut zurück, als ihn Zeugen dazu aufforderten, doch trat er nun erneut zu und bedrohte den dabei Geschädigten auch noch. Trotz seines jugendlichen Alters ist der Delinquent bereits hinreichend bekannt und wird sich nun erneut zu verantworten haben.",https://polizei.brandenburg.de/pressemeldung/jugendlicher-fiel-unangenehm-auf/5486356,None
Ermittlungen laufen,10.03.2025,"Erkner, Oder-Spree","Am frühen Morgen des 08.03.2025 wandte sich eine Frau an die Polizei, nachdem sie in der Seestraße eine unliebsame Begegnung hatte. Die 39-jährige Deutsche war vom Bahnhof gekommen und über die Friedrichstraße bis in die Seestraße gelaufen, als sie plötzlich von einem noch Unbekannten von hinten an der Jacke gepackt wurde. Offensichtlich wollte der Täter die Jacke öffnen, musste nun jedoch erleben, wie sich die Angegriffene zur Wehr setzte und lauthals um Hilfe rief. Daraufhin flüchtete derjenige, nicht aber, ohne zuvor die Frau noch unflätig zu beleidigen.
Der Mann wird mit einer Größe von rund 180 cm und als mutmaßlich deutscher Staatsbürger beschrieben. Er soll von dünner Gestalt sein und trug kurze, leicht lockige Haare sowie eine Brille. Der Gesuchte war zur Tatzeit mit einer dunkelblau/schwarzen Jacke sowie einer dunkelblauen Jeanshose bekleidet gewesen. Die Kriminalpolizei ermittelt nun in der Sache.",https://polizei.brandenburg.de/pressemeldung/ermittlungen-laufen/5486345,None
Einbrecher im Haus,10.03.2025,"Hönow, Märkisch-Oderland",In der Nacht zum 09.03.2025 gelangten Einbrecher in ein Einfamilienhaus in der Krummen Straße. Nach ersten Erkenntnissen fiel ihnen dann beim Durchsuchen des Objektes Schmuck in die Hände. Jetzt wird zur Identität der Eindringlinge und zum Verbleib des Diebsgutes ermittelt.,https://polizei.brandenburg.de/pressemeldung/einbrecher-im-haus/5486343,None
Ein Fall für den Polizeilichen Staatsschutz,10.03.2025,"Vogelsdorf, Märkisch-Oderland","Am frühen Morgen des 09.03.2025 wandte sich ein Mann an die Polizei, nachdem er mitbekommen hatte, wie mehrere Personen durch die Ortschaft zogen und zu der Musik von „L´Amour Toujours“ volksverhetzende Parolen brüllten. In der Bohmstraße trafen Polizisten dann auf eine zwölfköpfige Personengruppe, gegen die sich nun der Verdacht richtet, mit dem Geschehen in Verbindung zu stehen. Ob es tatsächlich so war, muss jetzt der Polizeiliche Staatsschutz herausbekommen.",https://polizei.brandenburg.de/pressemeldung/ein-fall-fuer-den-polizeilichen-staatssc/5486325,Volksverhetzung
Der Staatsschutz ermittelt,10.03.2025,"Dahlwitz-Hoppegarten, Märkisch-Oderland","Am Abend des 08.03.2025 wurde im Bereich der Bahnunterführung Lindenallee ein meterhohes Hakenkreuz entdeckt. Wer es dort hingeschmiert hatte, wird nun vom Polizeilichen Staatsschutz der Direktion Ost ermittelt.",https://polizei.brandenburg.de/pressemeldung/der-staatsschutz-ermittelt/5486316,Hakenkreuz
Räuber schlugen auch noch zu,10.03.2025,"Eberswalde, Barnim","Am Abend des 08.03.2025 war ein 25 Jahre alter Mann zu Fuß im Ammonpark unterwegs, als ihn zwei noch Unbekannte ansprachen und die Herausgabe seines Portemonnaies forderten. Als der Angesprochene dieser Forderung nicht schnell genug nachkam, griffen ihn die Räuber mittels Pfefferspray an und schlugen und traten zudem auf ihn ein. Dann stahlen sie die Bauchtasche des Geschädigten, in der sich das Portemonnaie sowie dessen Mobiltelefon und persönliche Papiere befunden hatten. Auch seine Jacke nahmen die Täter mit sich. Um wen es sich dabei gehandelt hatte, wird nun von der Kriminalpolizei ermittelt.",https://polizei.brandenburg.de/pressemeldung/raeuber-schlugen-auch-noch-zu/5486294,None
Als Täter identifiziert,10.03.2025,"Bernau b. Berlin, Barnim","Am späten Abend des 07.03.2025 tat sich ein junger Mann damit hervor, zwei in der Dorfstraße im Ortsteil Schönow abgestellte Autos durch Tritte zu beschädigen. Ein aufmerksamer Zeuge bekam dies mit und verständigte die Polizei. Die Beamten griffen sich den 17-jährigen Deutschen, der trotz seiner Jugend bereits hinreichend Bekanntheit erlangt hat. Zudem fand man bei ihm eine Schreckschusswaffe, so dann nun nicht nur wegen der Sachbeschädigungen, sondern auch wegen Verstoßes gegen das Waffengesetz ermittelt wird.",https://polizei.brandenburg.de/pressemeldung/als-taeter-identifiziert/5486227,None
Hakenkreuz geschmiert,10.03.2025,"Ahrensfelde, Barnim","Wie der Polizei am 08.03.2025 angezeigt wurde, haben noch Unbekannte auf dem Fußgängerweg im Hellersdorfer Weg ein Hakenkreuz geschmiert. Jetzt wird ermittelt, wer sich da betätigte und welche Motivation diejenigen hatten.",https://polizei.brandenburg.de/pressemeldung/hakenkreuz-geschmiert/5486210,Hakenkreuz
Einbruchsdiebstahl,10.03.2025,"Tantow, Uckermark","Wie der Polizei am 09.03.2025 angezeigt wurde, haben sich noch Unbekannte Zutritt zu einem Einfamilienhaus in der Bahnhofsstraße verschafft. Von dort nahmen sie einen Fernseher und diverse Werkzeuge mit sich. Jetzt ermittelt die Kriminalpolizei zur Identität der Eindringlinge und zum Verbleib des Diebesgutes.",https://polizei.brandenburg.de/pressemeldung/einbruchsdiebstahl-/5486205,None
