Title,Date,Location,Text,URL,SourceFile,RightWingRelated,KeywordMatch,ExtractedDate,ExtractedTime,ExtractedAge,ExtractedGender,ExtractedAction,KeywordExtracted,Topic
Ermittlungen nach Beleidigungen mit fremdenfeindlichen Hintergrund und Angriffen,15.06.2025,Marzahn-Hellersdorf,"Nr. 1660
Gestern am frühen Nachmittag wurden Polizeikräfte nach Marzahn alarmiert, nachdem eine Frau zwei andere Frauen fremdenfeindlich beleidigt und angegriffen hatte. Nach bisherigen Erkenntnissen beschimpfte die Unbekannte gegen 14:15 Uhr in der Mehrower Allee zunächst eine 24-Jährige, die ein Hidschab trug und in Begleitung einer 22 Jahre alten Bekannten sowie einem 27-jährigen Bekannten war, fremdenfeindlich. In der Folge kam es zwischen der Unbekannten und der Beschimpften zu einem Streitgespräch, in deren Verlauf die Frau der 24-Jährigen ins Gesicht spuckte und ihr mit einem Schuh ins Gesicht schlug. Die Angegriffene wollte dann das Geschehen mit dem Handy filmen, woraufhin die Tatverdächtige die Tasche der Frau an sich nahm und diese wiederholt auf den Boden warf. Die Begleiterin und der Begleiter versuchten daraufhin zwischen beiden Frauen zu schlichten, woraufhin die 22-Jährige von der Frau ebenfalls fremdenfeindlich beleidigt wurde. Anschließend versuchte die Frau,
    der 22-Jährigen mehrfach mit dem Schuh ins Gesicht zu schlagen. Diese konnte den Schlägen ausweichen und wurde nicht getroffen. Anschließend flüchtete die unbekannte Frau. Die leichten Gesichtsverletzungen der 24-Jährigen mussten nicht behandelt werden. Der Polizeiliche Staatsschutz des Landeskriminalamts Berlin übernahm die Ermittlungen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1569996.php,berlin_police_results.csv,True,['fremdenfeindlich'],15.06.2025,['14:15'],"['24', '27', '24', '22', '22', '24']","['frau', 'frau', 'frau', 'frau', 'frau', 'frau']","['angriff', 'schlagen', 'beleidigung']","['fremdenfeindlich', 'fremdenfeindlichen']",
Beleidigungen und versuchter Angriff mit antisemitischem Hintergrund,14.06.2025,Neukölln,"Nr. 1656
Gestern Abend kam es zu mehreren Polizeieinsätzen im Zusammenhang mit einem Lokal in Neukölln. Gegen 20:35 Uhr soll eine 18-Jährige den Inhaber des Lokals in der Emser Straße antisemitisch beleidigt und sich anschließend in Richtung Karl-Marx-Straße entfernt haben. Gegen 21:10 Uhr erschien die junge Frau erneut am Lokal. Alarmierte Einsatzkräfte stellten ihre Personalien fest. Sie gab an, die antisemitische Äußerung nicht gegenüber dem Lokalbetreiber, sondern im Rahmen eines privaten Telefongesprächs getätigt zu haben. Gegen 22:30 Uhr wurden die Einsatzkräfte erneut alarmiert, nachdem der 14-jährige Bruder der jungen Frau zunächst Gäste des Lokals angepöbelt und kurz darauf einen Pflasterstein in Richtung des Außenbereichs des Lokals geworfen haben soll. Er traf eine Litfaßsäule, niemand wurde verletzt. Die Einsatzkräfte stellten die Personalien des Jugendlichen fest und übergaben ihn nach Abschluss der polizeilichen Maßnahmen und Rücksprache mit dem Vater
    des 14-Jährigen in die Obhut seiner Schwester. Der Polizeiliche Staatsschutz des Landeskriminalamts hat die weiteren Ermittlungen übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1569972.php,berlin_police_results.csv,True,['antisemitisch'],14.06.2025,"['20:35', '21:10', '22:30']","['18', '14', '14']","['junge', 'frau', 'frau']","['angriff', 'beleidigung']","['antisemitisch', 'antisemitische', 'antisemitischem']",
Fremdenfeindlicher Angriff auf ein Mädchen,13.06.2025,Lichtenberg,"Nr. 1649
Gestern Abend kam es zu einer fremdenfeindlichen Beleidigung gegenüber drei Kindern in Neu-Hohenschönhausen. Gegen 17:10 Uhr sollen die drei Zwölfjährigen auf dem Gehweg der Zingster Straße Ecke Ahrenshooper Straße von einer Unbekannten fremdenfeindlich beleidigt worden sein. Nach bisherigen Erkenntnissen rannten die drei Kinder weg. Die Tatverdächtige soll schließlich einem Mädchen bis in den Hausflur eines Mehrfamilienhauses gefolgt sein und sie dort an den Armen gepackt haben. Dort habe sie das Mädchen derart geschüttelt, dass es mit dem Hinterkopf mehrmals gegen die Wand gestoßen und dadurch verletzt worden sei. Erst als ein Unbekannter eingeschritten sei, habe die Frau von dem Mädchen abgelassen und sei in unbekannte Richtung geflüchtet. Alarmierte Rettungskräfte behandelten die Verletzte am Ort ambulant. Die Eltern wurden über den Vorfall in Kenntnis gesetzt. Der Polizeiliche Staatsschutz des Landeskriminalamts übernahm die weiteren Ermittlungen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1569713.php,berlin_police_results.csv,True,['fremdenfeindlich'],13.06.2025,['17:10'],[],"['mädchen', 'mädchen', 'mädchen', 'frau', 'mädchen']","['angriff', 'beleidigung']","['fremdenfeindlicher', 'fremdenfeindlich', 'fremdenfeindlichen']",
Rettungskräfte angegriffen,05.06.2025,Spandau,"Nr. 1595
Ein alkoholisierter Mann attackierte gestern Abend in Spandau Rettungskräfte, die ihm helfen wollten. Nach bisherigem Kenntnisstand hatte sich der 37-Jährige mit seiner Nachbarin im gemeinsam bewohnten Mehrfamilienhaus in der Körnerstraße getroffen, zusammen Alkohol konsumiert und sei dann gegen 20:40 Uhr zusammengebrochen. Die Nachbarin rief die Rettungskräfte, welche den Mann im Treppenhaus vorfanden. Er soll sich ihnen als „Adolf Hitler“ vorgestellt und den sogenannten Hitlergruß gezeigt haben. Als die drei Sanitäter ihm aufhelfen wollten, habe er einem von ihnen mit seinem zuvor ausgezogenen Schuh ins Gesicht geschlagen. Der 34-Jährige erlitt dadurch Kopfschmerzen. Eingetroffene Polizeikräfte brachten den Mann nach staatsanwaltschaftlicher Anordnung in ein Polizeigewahrsam, wo ihm Blut abgenommen und erkennungsdienstliche Maßnahmen durchgeführt wurden. Er blieb bis zum nächsten Morgen um 8 Uhr im Unterbindungsgewahrsam und durfte anschließend seinen Weg
    fortsetzen. Die Ermittlungen wegen tätlichen Angriffs auf Vollstreckungsbeamte und gleichstehende Personen sowie Verwendens von Kennzeichen verfassungswidriger und terroristischer Organisationen dauern an.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1567374.php,berlin_police_results.csv,True,"['hitlergruß', 'verfassungswidrig']",05.06.2025,['20:40'],"['37', '34']","['mann', 'mann', 'mann']","['angriff', 'schlagen']","['verfassungswidriger', 'hitlergruß']",
Mehrere Versammlungen in Mitte – Polizei Berlin zieht Bilanz,02.06.2025,Mitte,"Nr. 1572
Mit rund 440 Einsatzkräften betreute die Polizei Berlin gestern über den Tag verteilt mehrere Versammlungen in Mitte.
Bezugnehmend auf eine Versammlung mit dem Titel „Gegen Volksverrat und gegen Übergriffe auf unser Volk“, die von 13:45 Uhr bis 18 Uhr vom U-Bahnhof Schillingstraße bis zum Nordbahnhof laufen sollte, waren insgesamt sechs Gegenversammlungen angezeigt worden, von denen zwei Gegenkundgebungen und ein Aufzug tatsächlich durchgeführt wurden. Bereits am Antreteplatz des Aufzugs in der Schillingstraße beschränkten Einsatzkräfte drei Personen vorübergehend in ihrer Freiheit, um in Rücksprache mit dem Polizeilichen Staatsschutz des Landeskriminalamtes Kleidungsstücke, Sticker und eine Fahne auf möglicherweise verbotene Symboliken zu überprüfen. Eine Strafbarbarkeit wurde nicht festgestellt. Die Einsatzleitung untersagte das Tragen und Zeigen der Utensilien aus versammlungsrechtlichen Gründen. Die entsprechende Beschränkung teilte sie der Versammlungsleitung mit. Außerdem wurde im Verlauf des Aufzuges mit dem Versammlungsleiter einvernehmlich kooperiert, dass der Aufzug
    bereits am Alexanderplatz endet. Am Endplatz bestand beim Abspielen zweier Songs zunächst der Verdacht, dass diese verboten sein und auf dem Index stehen könnten. Auch hier prüfte der Staatsschutz umgehend die Liedtexte. Ein strafbarer Inhalt konnte nicht festgestellt werden.
Die Versammlung begann gegen 14:15 Uhr und setzte sich eine halbe Stunde später mit 65 Teilnehmenden vom U-Bahnhof Schillingstraße in Bewegung. Direkt im Anschluss mussten Einsatzkräfte körperlichen Zwang in Form von Schieben und Drücken gegen einzelne Personen anwenden, die versuchten, die Wegstrecke des Aufzugs zu blockieren. Im weiteren Verlauf verhinderten die Kräfte in der Alexanderstraße Ecke Memhardstraße sowie an der Ecke Karl-Liebknecht-Straße/Dircksenstraße, dass insgesamt 35 Personen aus einer Gegendemonstration den Weg blockierten. In der Alexanderstraße setzten die Kräfte dazu auch selektiv gezielte Faustschläge gegen die Personen ein. Nachdem der Versammlungsleiter den Aufzug gegen 15:40 Uhr am Alexanderplatz beendet hatte, versuchten etwa 80 Personen, auf die ehemaligen Teilnehmenden der Versammlung einzuwirken. Einsatzkräfte beschränkten daraufhin mehrere Personen nach tätlichem Angriff, Widerstand gegen Vollstreckungsbeamte und versuchter
    Gefangenenbefreiung in ihrer Freiheit.
Ein Aufzug mit dem Thema „Klare Kante gegen Nazis“ begann gegen 12:45 Uhr mit 120 Teilnehmenden in der Rosa-Luxemburg-Straße/Torstraße, wuchs in der Spitze auf 600 Personen an und endete mit einer Abschlusskundgebung in der Memhardstraße, an der ab 15 Uhr 400 Personen teilnahmen. Sie verlief weitestgehend störungsfrei. Auch bei den anderen betreuten Versammlungen gab es keine nennenswerten Vorkommnisse.
Insgesamt wurden bei den Demonstrationen 20 Personen vorübergehend in ihrer Freiheit beschränkt und neun Strafermittlungsverfahren unter anderem wegen Beleidigung, Sachbeschädigung, tätlichen Angriffs auf und Widerstands gegen Vollstreckungsbeamte sowie Verwendens von Kennzeichen verfassungswidriger und terroristischer Organisationen eingeleitet.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1565779.php,berlin_police_results.csv,True,"['nazi', 'verfassungswidrig']",02.06.2025,"['13:45', '18', '14:15', '15:40', '12:45', '15']",[],[],"['angriff', 'beleidigung', 'versammlung']","['nazis', 'verfassungswidriger']",
Gefährliche Körperverletzung mit transphobem Hintergrund,31.05.2025,Neukölln,"Nr. 1560
In der vergangenen Nacht bemerkten Polizeikräfte eine verletzte Person in Neukölln. Gegen 22:30 Uhr entdeckten die Kräfte die 27-jährige Transperson an der Sonnenallee Ecke Reuterstraße, die mit einer stark blutenden Kopfverletzung auf der Fahrbahn lag. Sie befand sich in Begleitung einer weiteren, gleichaltrigen Transperson, die über Kopfschmerzen klagte. Gemeinsam mit einer zufällig am Ort anwesenden Ärztin versorgten die Kräfte die am Boden liegende Person zunächst. Hinzualarmierte Rettungskräfte übernahmen die Person dann und brachten sie zur stationären Behandlung in ein Krankenhaus, während die andere Transperson am Ort medizinisch versorgt wurde. Anschließende Ermittlungen ergaben, dass die beiden Transpersonen gegen 22 Uhr am U-Bahnhof Hermannplatz in einen Zug der Linie U8 einsteigen wollten, als eine der beiden unvermittelt von einem Mann, der sich im Waggon befand und in Begleitung von zwei weiteren Männern war, bespuckt und mit Wasser übergossen
    worden sein soll. Anschließend flüchtete der Tatverdächtige aus der U-Bahn und verließ den U-Bahnhof. Die beiden Transpersonen liefen ihm bis zur Reuterstraße hinterher. Dort war der Tatverdächtige offenbar in einem Gebäude verschwunden. Als die beiden Begleiter des Tatverdächtigen dann in der Reuterstraße erschienen, kam dieser aus einem Objekt heraus und soll gemeinsam mit einem seiner zwei Begleiter die Transpersonen mit Schlägen angegriffen haben, wodurch beide verletzt wurden. Anschließend waren die Tatverdächtigen offenbar geflüchtet. Die Ermittlungen zu dem Geschehen werden vom Polizeilichen Staatsschutz des Landeskriminalamts Berlin geführt und dauern an.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1565577.php,berlin_police_results.csv,True,['transphobie'],31.05.2025,"['22:30', '22']",['27'],['mann'],"['schlagen', 'körperverletzung']",['transphobem'],
Kirchentür beschädigt,31.05.2025,Charlottenburg-Wilmersdorf,"Nr. 1559
Der Polizeiliche Staatsschutz des Landeskriminalamts Berlin hat die Ermittlungen zu einer beschädigten Zugangstür einer Kirche am Ludwigkirchplatz in Wilmersdorf übernommen. Ein Angestellter der Kirche zeigte gestern Abend, gegen 19 Uhr, die Beschädigungen an, die er bereits am Mittwoch festgestellt hatte. Unbekannte hatten ein Hakenkreuz und Siegrunen in die Holztür geritzt. Die Ermittlungen dauern an.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1565576.php,berlin_police_results.csv,True,['hakenkreuz'],31.05.2025,['19'],[],[],[],['hakenkreuz'],
Jugendliche sollen Parolen gerufen und den so genannten Hitlergruß gezeigt haben,27.05.2025,Pankow,"Nr. 1531
Jugendliche sollen gestern Abend in Pankow fremdenfeindliche Parolen gerufen und den so genannten Hitlergruß gezeigt haben. Nach bisherigen Erkenntnissen alarmierte ein Passant gegen 19:30 Uhr die Polizei in eine Grünanlage in der Bahnhofstraße, nachdem er Jugendliche bemerkt hatte, von denen einer zunächst zu einer Personengruppe gegangen und dort den so genannten Hitlergruß gezeigt haben soll. Dann sollen die Jugendlichen fremdenfeindliche Parolen gerufen und ein Lied mit rassistischem Text abgespielt haben. Polizeikräfte stellten sechs Jugendliche, einen 14-Jährigen, einen 15-Jährigen und vier 16-Jährige, fest und nahmen den Sachverhalt auf. Nach Abschluss der polizeilichen Maßnahmen wurden die Jugendlichen nach Rücksprache mit den jeweiligen Erziehungsberechtigen am Ort entlassen. Der Polizeiliche Staatsschutz des Landeskriminalamts Berlin hat die Ermittlungen übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1563972.php,berlin_police_results.csv,True,"['hitlergruß', 'fremdenfeindlich', 'rassistisch']",27.05.2025,['19:30'],"['14', '15', '16']","['jugendliche', 'jugendliche', 'jugendliche', 'jugendliche']",[],"['rassistischem', 'fremdenfeindliche', 'hitlergruß']",
Frau transphob beleidigt und verletzt,26.05.2025,Friedrichshain-Kreuzberg,"Nr. 1253
Gestern Nachmittag wurde eine Frau in Kreuzberg transphob beleidigt und mit Reizgas besprüht. Laut Zeugenangaben war die 29-Jährige kurz vor 16 Uhr auf dem U-Bahnhof Kottbusser Tor von der U-Bahnlinie U12 in Richtung U8 unterwegs, als sie auf der Rolltreppe im Bereich der Zwischenebene von zwei Unbekannten beleidigt wurde. Als sie die Rolltreppe schließlich verlassen hatte, seien die zwei Männer auf sie zugelaufen und sprühten ihr unvermittelt Pfefferspray ins Gesicht. Anschließend flüchteten die beiden in Richtung U8. Die Frau ging zu Boden, erlitt eine Augen- sowie Atemwegsreizung und wurde von alarmierten Rettungskräften am Ort behandelt. Zudem erlitten zwei weitere Zeuginnen durch das Sprühen ebenfalls eine Atemwegsreizung. Diese lehnten ärztliche Behandlungen ab. Die Ermittlungen führt der Polizeiliche Staatsschutz des Landeskriminalamts Berlin.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1563579.php,berlin_police_results.csv,True,['transphobie'],26.05.2025,['16'],['29'],"['frau', 'frau', 'frau']",[],['transphob'],
Demonstrationen und Pokalfinale in Berlin – Polizei zieht Bilanz,25.05.2025,berlinweit,"Nr. 1251
Überwiegend störungsfrei verlief der gestrige Tag, an dem Einsatzkräfte der Polizei Berlin anlässlich mehrerer Versammlungen sowie des DFB-Pokalfinals eingesetzt waren. Insgesamt waren dafür mehr als 2000 Einsatzkräfte im Dienst. Unterstützt wurde die Polizei Berlin durch Kräfte aus Hamburg, Baden-Württemberg, Nordrhein-Westfalen, Hessen, Bremen, Schleswig-Holstein, Niedersachsen, Sachsen-Anhalt, Sachsen, Brandenburg sowie der Bundespolizei.
Das Endspiel des Landespokals Berlin, das ab 12:30 Uhr im Mommsenstadion zwischen Eintracht Mahlsdorf und dem BFC Dynamo ausgetragen wurde, endete störungsfrei um 14:05 Uhr. Etwa 8400 Zuschauer verfolgten das Spiel im Stadion.
Das DFB-Pokalfinale zwischen Arminia Bielefeld und dem VfB Stuttgart wurde um 20 Uhr im Olympiastadion angepfiffen. Rund 73.700 Fußballfans verfolgten das Spiel.
Bereits ab etwa 10 Uhr versammelten sich in der Spitze rund 6000 Fans des VfB Stuttgart am für sie vorgesehenen Fan-Treffpunkt Breitscheidplatz. Die Veranstaltung verlief überwiegend störungsfrei und wurde gegen 17 Uhr beendet.
Der Fanmarsch der Anhänger des VfB Stuttgart, beginnend am Theodor-Heuss-Platz, startete ab etwa 16 Uhr und erreichte gegen 16:30 Uhr mit etwa 16.000 Personen in der Spitze den Olympischen Platz. Es kam vereinzelt zum Abbrennen pyrotechnischer Gegenstände sowie zu Beschädigungen durch Sticker, die an in der Reichsstraße abgestellten Autos hinterlassen worden waren.
Auf Höhe der Reichsstraße Ecke Kastanienallee nahmen Einsatzkräfte kurz vor 16 Uhr sieben Männer, die der Stuttgarter Fanszene zuzuordnen waren, fest, nachdem diese zuvor Einsatzkräfte in ziviler Kleidung gezielt zu einer körperlichen Auseinandersetzung aufgefordert hatten. Für die Betroffenen wurde ein Unterbindungsgewahrsam bis 1 Uhr des Folgetages angeordnet.
Die Fans von Arminia Bielefeld sammelten sich ab etwa 11:15 Uhr am zugewiesenen Fan-Treffpunkt auf dem Alexanderplatz. In der Spitze nahmen rund 18.000 Personen an der Veranstaltung teil. Ein kurzfristig angesetzter Fanmarsch der Bielefelder Fans startete ab etwa 14:40 Uhr beginnend am S-Bahnhof Heerstraße mit zunächst etwa 1.100 Teilnehmenden. Der Aufzug zog über die Flatowallee bis zum Coubertinplatz, wo sich gegen 16:30 Uhr rund 5000 Bielefelder Fans zusammenfanden.
Im Olympiastadion wurden im Spielverlauf mehrfach pyrotechnische Gegenstände sowohl von Stuttgarter als auch von Bielefelder Fans gezündet. Die Begegnung endete gegen 22 Uhr mit einem Endstand von 4:2 für den VfB Stuttgart. Das Stadion war gegen 0 Uhr nahezu menschenleer.
Im Stadtgebiet fanden neben den fußballbezogenen Veranstaltungen insgesamt 26 weitere Versammlungen zu unterschiedlichen Themenkomplexen statt. Die Versammlungen verliefen überwiegend störungsfrei.
Bei einer Kundgebung am Oranienplatz mit dem Titel „Gegen den Völkermord in Gaza“, die gegen 15:20 Uhr mit 220 Teilnehmenden begann und in der Spitze 600 Teilnehmende zählte, kam es mehrfach zu Störungen journalistischer Arbeit, indem Fahnen und Palästinensertücher vor die Objektive von Kameras gehalten wurden. Daraufhin wurde der Versammlungsleiter durch Einsatzkräfte angewiesen, auf seine Teilnehmenden einzuwirken, dies zu unterlassen. Es wurden Sprechchöre mit strafbarem Inhalt skandiert und entsprechende Strafverfahren eingeleitet. Die Kundgebung endete gegen 17:50 Uhr mit 300 Teilnehmenden.
Im Zuge eines Aufzugs unter dem Titel „Friedensmarsch“ kam es an der Lüneburger Straße Ecke Flemingstraße am Nachmittag zu einem Blockadeversuch durch mehr als 150 Teilnehmende einer Gegenkundgebung, der jedoch durch die Einsatzkräfte verhindert werden konnte. Die beteiligten Personen wurden Identitätsfeststellungen unterzogen. Wegen des Verdachts des Landfriedensbruchs wird jetzt gegen 186 Personen ermittelt.
Gegen 18 Uhr kam es durch eine Gruppe von 47 ehemaligen Teilnehmenden des „Friedensmarsches“ im Bereich der Rochstraße zum Ausruf ausländerfeindlicher und rechtsextremer Parolen gegenüber umstehenden Personen. Als Einsatzkräfte die Gruppe in der Folge anhielten, kam es zu tätlichen Angriffen gegen die Kräfte sowie zu Beleidigungen und Widerstandshandlungen. Die Beteiligten, darunter 22 Minderjährige, wurden freiheitsbeschränkenden Maßnahmen unterzogen und entsprechende Ermittlungsverfahren eingeleitet. Ein Minderjähriger wurde dem Kinder- und Jugendnotdienst überstellt, alle weiteren Personen wurden nach Abschluss der Maßnahmen entlassen.
Im Verlauf der 26 durch die Polizei Berlin betreuten Versammlungen und Veranstaltungen abseits des Pokalfinales wurden insgesamt über den Tag verteilt mehr als 265 Strafanzeigen geschrieben, unter anderem wegen der bereits geschilderten Landfriedensbrüche, tätlichen Angriffs auf und Widerstands gegen Vollstreckungsbeamte sowie wegen des Verwendens von Kennzeichen verfassungswidriger und terroristischer Organisationen. Insgesamt kam es bei den Versammlungen abseits des Fußballeinsatzes zu mehr als 233 durchgeführten Freiheitsbeschränkungen bzw. Freiheitsentziehungen.
Insgesamt wurden im Verlauf des Einsatzes zum DFB-Pokalfinale ohne die 26 weiteren betreuten Veranstaltungen und Versammlungen 35 Strafanzeigen geschrieben, unter anderem wegen des Verdachts der Beleidigung, des Diebstahls und der Körperverletzung sowie Verstößen gegen das Sprengstoff- und das Betäubungsmittelgesetz. Es wurden hierzu 53 freiheitsbeschränkende oder freiheitsentziehende Maßnahmen durchgeführt.
Über den gesamten Tagesverlauf inklusive des Pokalfinales gab es einen verletzten Polizisten, er konnte jedoch im Dienst bleiben.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1563399.php,berlin_police_results.csv,True,['verfassungswidrig'],25.05.2025,"['12:30', '14:05', '20', '10', '17', '16', '16:30', '16', '11:15', '14:40', '16:30', '22', '15:20', '17:50', '18']",[],[],"['angriff', 'beleidigung', 'versammlung', 'diebstahl', 'körperverletzung']",['verfassungswidriger'],
