Title,Date,Location,Text,URL,SourceFile,RightWingRelated,KeywordMatch,ExtractedDate,ExtractedTime,ExtractedAge,ExtractedGender,ExtractedAction,KeywordExtracted
Nationalsozialistische Parolen gerufen,16.04.2025,Marzahn-Hellersdorf,"Nr. 0957
Weil er hörte, wie mehrere Heranwachsende in Marzahn nationalsozialistische Parolen riefen, wählte ein Zeuge gestern Nachmittag den polizeilichen Notruf. Gegen 15:20 Uhr erhielt die Besatzung eines Einsatzwagens vom Abschnitt 32 den Auftrag, zu dem Verdacht einer Straftat am Barnimplatz zu fahren. Am Einsatzort trafen die Polizeikräfte auf eine Gruppe sechs junger Personen, von denen sich zwei zum Tatvorwurf äußerten. Demnach sollen drei Heranwachsende im Alter von 18 und 19 Jahren mehrfach und für umstehende Passanten hörbar nationalsozialistische Parolen gerufen haben. Dabei habe es sich nach Aussage eines Tatverdächtigen um einen Spaß gehandelt. Nach erfolgter Identitätsfeststellung durften alle Beteiligten ihren Weg fortsetzen. Die weiteren Ermittlungen werden nun von einem Fachkommissariat des Polizeilichen Staatsschutzes geführt.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1552328.php,berlin_police_results.csv,True,['nationalsozialistisch'],16.04.2025,['15:20'],[],[],[],['nationalsozialistische']
Ermittlungen wegen des Verdachts der Volksverhetzung,13.04.2025,Mitte,"Nr. 0932
Gestern Mittag leiteten Polizeikräfte in Wedding ein Ermittlungsverfahren wegen des Verdachtes der Volksverhetzung ein. Gegen 12 Uhr stellten die Einsatzkräfte zwei Schriftzüge mit politischem Hintergrund an einer Gedenkstätte im Elise-und-Otto-Hampel-Weg fest. Der Polizeiliche Staatsschutz des Landeskriminalamtes übernahm die weiteren Ermittlungen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1551334.php,berlin_police_results.csv,True,['volksverhetzung'],13.04.2025,['12'],[],[],[],['volksverhetzung']
Festnahme nach fremdenfeindlicher Beleidigung,10.04.2025,Pankow,"Nr. 0907
Eine Frau wurde gestern Nachmittag in Prenzlauer Berg nach fremdenfeindlichen Äußerungen festgenommen. Nach ersten Erkenntnissen soll die 56-Jährige gegen 17:35 Uhr auf dem Arnswalder Platz vier dort spielende Kinder im Alter von 11 und 12 Jahren beschimpft und eines von ihnen fremdenfeindlich beleidigt haben. Anschließend begab sie sich in Richtung Dietrich-Bonhoeffer-Straße. Dort soll sie den sogenannten Hitlergruß gezeigt haben. Alarmierte Einsatzkräfte der Polizei brachten die stark alkoholisiert wirkende Frau für erkennungsdienstliche Maßnahmen und eine Blutentnahme in ein Polizeigewahrsam. Von dort wurde sie im Anschluss entlassen. Die weiteren Ermittlungen hat der Polizeiliche Staatsschutz des Landeskriminalamts übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1550759.php,berlin_police_results.csv,True,"['hitlergruß', 'fremdenfeindlich']",10.04.2025,['17:35'],['56'],"['frau', 'frau']",['beleidigung'],"['hitlergruß', 'fremdenfeindlich', 'fremdenfeindlichen', 'fremdenfeindlicher']"
Festnahme nach wiederholtem Hausfriedensbruch,10.04.2025,Mitte,"Nr. 0900
Gestern Mittag wurde ein Mann in Mitte vorläufig festgenommen. Gegen 11:30 Uhr erhielt die Besatzung eines Polizeieinsatzwagens den Auftrag, zu einem Hausfriedensbruch in die Köpenicker Straße zu fahren. Als die Einsatzkräfte am betroffenen Hostel eingetroffen waren, schilderte ihnen eine Mitarbeiterin, dass sich ein ehemaliger Gast zum wiederholten Male im Eingangsbereich des Hauses aufhalten, Alkohol konsumieren und sich aggressiv gegenüber anderen Gästen verhalten würde. Die Aufforderungen des Personals, den Ort zu verlassen, ignoriere der Mann dabei konsequent. Auch auf Anweisungen der Polizeieinsatzkräfte, den Ort zu verlassen, reagierte der 52-Jährige nicht. Erst unter Anwendung eines Transportgriffes gelang es, ihn vor das Hostel zu verbringen. Dort klagte der Mann dann über Schmerzen im Handgelenk, weswegen ein Rettungswagen angefordert wurde. Dessen Besatzung konnte keine Verletzungen feststellen. Weiter zeigte sich der Störenfried unzufrieden mit den
    polizeilichen Maßnahmen, unterstellte einem Kollegen rassistisches Handeln und hob unter Ausruf einer verbotenen Parole seinen rechten Arm zum verbotenen Hitlergruß. Nachdem ihm daraufhin der Tatvorwurf eröffnet worden und eine rechtliche Belehrung erfolgt war, kam der 52-Jährige zwecks erkennungsdienstlicher Behandlung und richterlich angeordneter Blutentnahme in ein Polizeigewahrsam. Diesen konnte er anschließend wieder verlassen. Die weiteren Ermittlungen wurden vom Polizeilichen Staatsschutz des Landeskriminalamts Berlin übernommen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1550544.php,berlin_police_results.csv,True,['hitlergruß'],10.04.2025,['11:30'],"['52', '52']","['mann', 'mann', 'mann']",[],['hitlergruß']
Fremdenfeindliche Beleidigung und Angriff,09.04.2025,Tempelhof-Schöneberg,"Nr. 0895
Heute Morgen soll in Marienfelde eine Frau von einer anderen Frau fremdenfeindlich beleidigt und geschlagen worden sein. Gegen 7:25 Uhr habe sich die 29-Jährige im Bereich einer Bushaltestelle an der Waldsassener Straße befunden, als eine 37-Jährige sie fremdenfeindlich beleidigt und die junge Frau daraufhin die Straßenseite gewechselt haben soll. Die Tatverdächtige soll die 29-Jährige jedoch verfolgt und ihr mit der Faust gegen den Kopf geschlagen haben. Alarmierte Einsatzkräfte konnten die mutmaßliche Täterin in der Nähe ausfindig machen und ihre Identität feststellen. Der Polizeiliche Staatsschutz des Landeskriminalamtes führt die weiteren Ermittlungen.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1550336.php,berlin_police_results.csv,True,['fremdenfeindlich'],09.04.2025,['7:25'],"['29', '37', '29']","['frau', 'frau', 'junge', 'frau']","['angriff', 'schlagen', 'beleidigung']","['fremdenfeindliche', 'fremdenfeindlich']"
Rennen gefahren – Auto verloren,09.04.2025,Marzahn-Hellersdorf,"Nr. 0894
In den gestrigen Mittagsstunden fuhr ein Mann ein Autorennen von Biesdorf bis nach Brandenburg. Ein Zeuge beobachtete den 47-jährigen Fahrer dabei, wie er gegen 12:30 Uhr mit einem SUV-Mietfahrzeug mit hohen Geschwindigkeiten von der Straße Alt-Biesdorf über Alt-Kaulsdorf und Alt-Mahlsdorf bis nach Brandenburg gefahren sei. Dabei soll er auch in Schlangenlinien gefahren sein sowie mehrere Verkehrsteilnehmende geschnitten und dadurch Notbremsungen ausgelöst haben. Als er an einer roten Ampel mehrfach im Stand Gas gegeben habe, soll sein 40-jähriger Beifahrer den sogenannten Hitlergruß gezeigt haben. Brandenburger Polizeibeamte hielten den Fahrer an, hinzugezogene Berliner Einsatzkräfte stellten das Fahrzeug sicher und leiteten Ermittlungsverfahren wegen des Verdachts des verbotenen Kraftfahrzeugrennens, des Verwendens von Kennzeichen verfassungswidriger und terroristischer Organisationen und festgestellter Ordnungswidrigkeiten.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1550335.php,berlin_police_results.csv,True,['hitlergruß'],09.04.2025,['12:30'],"['47', '40']",['mann'],[],['hitlergruß']
Personengruppe nach fremdenfeindlichen Parolen überprüft,06.04.2025,Steglitz-Zehlendorf,"Nr. 0872
Einsatzkräfte überprüften gestern Nachmittag eine Personengruppe in Lankwitz. Gegen 16 Uhr alarmierte eine Zeugin die Polizei zu einer Parkanlage an der Dillgesstraße. Zuvor hatte sie dort eine Personengruppe bemerkt, aus der fremdenfeindliche Parolen gerufen worden sein sollen. Die Einsatzkräfte überprüften die 14-köpfige Personengruppe aus Frauen und Männern im Alter von 15 bis 36 Jahren und sprachen allen Personen Platzverweise aus. Zuvor meldete eine weitere Zeugin gegen 15:30 Uhr bereits eine Personengruppe auf dem Hanna-Renate-Laurien-Platz, aus der ebenfalls fremdenfeindliche Parolen gerufen worden sein sollen. Ob diese Gruppe mit der in der Parkanlage an der Dillgesstraße identisch ist, ist Gegenstand der Ermittlungen des Polizeilichen Staatsschutzes wegen des Verdachts der fremdenfeindlichen Beleidigung.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1548730.php,berlin_police_results.csv,True,['fremdenfeindlich'],06.04.2025,"['16', '15:30']",[],[],['beleidigung'],"['fremdenfeindliche', 'fremdenfeindlichen']"
Mutter mit ihren Kindern fremdenfeindlich beleidigt,05.04.2025,Friedrichshain-Kreuzberg,"Nr. 0869
Heute Nachmittag beleidigte ein Mann in Kreuzberg sowohl eine Frau als auch ihre Kinder fremdenfeindlich. Auf dem Gehweg der Hasenheide sprach er gegen 14:20 Uhr erst die Kleinkinder und anschließend deren Mutter an und gab mehrere fremdenfeindliche und den Nationalsozialismus verherrlichende Äußerungen von sich. Mehrere Passanten schritten ein und der Mann entfernte sich zunächst. Die 28-Jährige begegnete daraufhin zwei Polizisten und gab eine detaillierte Personenbeschreibung ab. Die Beamten trafen den 56-Jährigen an und auch vor ihnen wiederholte er die Aussagen lautstark. Ein freiwilliger Atemalkoholtest bei ihm ergab einen Wert von unter 0,2 Promille. Der Polizeiliche Staatsschutz des Landeskriminalamts Berlin ermittelt nun wegen Beleidigung.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1548713.php,berlin_police_results.csv,True,"['fremdenfeindlich', 'nationalsozialismus', 'nationalsozialistisch']",05.04.2025,['14:20'],"['28', '56']","['mann', 'frau', 'mann']",['beleidigung'],"['fremdenfeindliche', 'fremdenfeindlich', 'nationalsozialismus']"
Rassistische Beleidigungen in der S-Bahn,03.04.2025,Treptow-Köpenick,"Nr. 0853
Gestern Abend wurde über die Internetwache der Polizei Berlin eine Verwendung von Kennzeichen verfassungsfeindlicher und terroristischer Organisationen in Adlershof zur Anzeige gebracht. Nach ersten Erkenntnissen soll eine 38-jährige Frau gegen 14:30 Uhr in einem Zug der S-Bahnlinie 45 in Richtung Südkreuz unterwegs gewesen, als am Bahnhof Adlershof eine fünfköpfige Personengruppe hinzugestiegen sei. Die Gruppe, bestehend aus drei Männern und zwei Frauen, habe rassistische Äußerungen über eine weitere Frau in der Bahn gemacht, woraufhin die 38-Jährige eingeschritten sei und sie aufgefordert habe, dies zu unterlassen. Einer der Männer habe sie in der Folge beleidigt und den Hitlergruß gezeigt. Anschließend soll sich die Gruppe weiterhin abfällig über die 38-Jährige geäußert haben. Am Bahnhof Tempelhof stieg die Frau aus. Die weiteren Ermittlungen zu dem Sachverhalt dauern an und werden vom Polizeilichen Staatsschutz des Landeskriminalamts geführt.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1548121.php,berlin_police_results.csv,True,['hitlergruß'],03.04.2025,['14:30'],"['38', '38', '38']","['frau', 'frau', 'frau']",['beleidigung'],['hitlergruß']
Homophob beleidigt und bedroht,03.04.2025,Charlottenburg-Wilmersdorf,"Nr. 0848
Weil er einen Mitarbeiter einer kirchlichen Einrichtung in Charlottenburg homophob beleidigt und bedroht haben soll, wurde ein Mann gestern Vormittag vorläufig festgenommen. Gegen 9 Uhr erhielten Einsatzkräfte des Polizeiabschnitts 25 den Auftrag, zu einer randalierenden Person in die Jebensstraße zu fahren. Dort trafen die beiden Polizisten unter anderem auf einen 28-Jährigen, der angab, im Rahmen seines sozialen Dienstes in einen Disput mit einem Bedürftigen geraten zu sein. Dabei wollte sich Letztgenannter nicht von dem Hilfeleistenden bedienen lassen. Im weiteren Verlauf soll der bis dato Unbekannte den 28-Jährigen mehrfach homophob beleidigt und bedroht haben. Noch auf dem Weg in ein Polizeigewahrsam, in den der Tatverdächtige zum Zweck einer erkennungsdienstlichen Behandlung kam, äußerte sich der 32-Jährige abfällig. Mit Abschluss der polizeilichen Maßnahmen konnte er seinen Weg fortsetzen, erhielt zuvor aber noch einen Platzverweis für die kirchliche
    Einrichtung am Bahnhof Zoologischer Garten. Die weiteren Ermittlungen dauern an.",https://www.berlin.de/polizei/polizeimeldungen/2025/pressemitteilung.1547929.php,berlin_police_results.csv,True,['homophobie'],03.04.2025,[],"['28', '28', '32']",['mann'],[],['homophob']
